item,rank,gender,isIdentity,hasref,refitem,exurl,wmurl,wmproj
Q100205,NormalRank,Q6581097,true,true,true,false,false,false
Q100255,NormalRank,Q6581097,true,true,false,false,false,true
Q1008528,NormalRank,Q6581097,true,false,,,,
Q1010588,NormalRank,Q6581097,true,false,,,,
Q101439000,NormalRank,Q6581072,true,false,,,,
Q101537534,NormalRank,Q6581097,true,false,,,,
Q101584344,NormalRank,Q6581072,true,false,,,,
Q101617629,NormalRank,Q6581097,true,false,,,,
Q1016541,NormalRank,Q6581097,true,true,false,false,false,true
Q101760216,NormalRank,Q6581072,true,false,,,,
Q101967,NormalRank,Q6581072,true,true,true,false,false,false
Q101967,NormalRank,Q6581072,true,true,false,false,false,true
Q101987,NormalRank,Q6581072,true,true,false,false,false,true
Q102432,NormalRank,Q6581097,true,true,true,false,false,false
Q10281462,NormalRank,Q6581097,true,false,,,,
Q10294464,NormalRank,Q6581072,true,true,false,false,false,true
Q10299830,NormalRank,Q6581072,true,true,false,false,false,true
Q10308054,NormalRank,Q6581097,true,false,,,,
Q10309850,NormalRank,Q6581097,true,true,false,false,false,true
Q10309889,NormalRank,Q6581097,true,false,,,,
Q10310204,NormalRank,Q6581097,true,false,,,,
Q103165,NormalRank,Q6581072,true,true,false,false,false,true
Q10318815,NormalRank,Q6581097,true,false,,,,
Q10338219,NormalRank,Q6581097,true,false,,,,
Q10347467,NormalRank,Q6581097,true,false,,,,
Q10347591,NormalRank,Q6581097,true,false,,,,
Q10361221,NormalRank,Q6581097,true,false,,,,
Q10389774,NormalRank,Q6581097,true,false,,,,
Q10465190,NormalRank,Q6581097,true,true,false,false,false,false
Q10519965,NormalRank,Q6581097,true,false,,,,
Q1055212,NormalRank,Q6581097,true,true,false,false,false,true
Q105884,NormalRank,Q6581097,true,true,true,false,false,false
Q1063232,NormalRank,Q6581097,true,false,,,,
Q106497,NormalRank,Q6581097,true,true,false,false,false,true
Q106498,NormalRank,Q6581097,true,true,false,false,false,true
Q106499,NormalRank,Q6581072,true,true,true,false,false,false
Q106499,NormalRank,Q6581072,true,true,false,false,false,true
Q106978065,NormalRank,Q6581072,true,false,,,,
Q107121442,NormalRank,Q6581072,true,false,,,,
Q107124509,NormalRank,Q6581072,true,false,,,,
Q107126993,NormalRank,Q6581097,true,false,,,,
Q10769543,NormalRank,Q6581072,true,true,false,false,false,true
Q1078121,NormalRank,Q6581072,true,true,false,false,false,true
Q1082006,NormalRank,Q6581097,true,true,true,false,false,false
Q1082481,NormalRank,Q6581097,true,true,false,true,false,false
Q1082481,NormalRank,Q6581097,true,true,true,false,false,false
Q1083717,NormalRank,Q6581072,true,true,false,false,false,true
Q10839149,NormalRank,Q6581097,true,true,false,false,false,true
Q1085077,NormalRank,Q6581097,true,false,,,,
Q10853483,NormalRank,Q6581072,true,true,false,false,false,true
Q10853676,NormalRank,Q6581072,true,true,false,false,false,true
Q10853815,NormalRank,Q6581097,true,false,,,,
Q10857826,NormalRank,Q6581072,true,true,false,false,false,true
Q1085954,NormalRank,Q6581097,true,true,false,false,false,true
Q1091143,NormalRank,Q6581097,true,true,false,false,false,true
Q109362,NormalRank,Q6581097,true,true,true,false,false,false
Q10949778,NormalRank,Q6581097,true,false,,,,
Q1097212,NormalRank,Q6581097,true,true,false,false,false,true
Q1097212,NormalRank,Q6581097,true,true,false,false,false,false
Q10985643,NormalRank,Q6581097,true,false,,,,
Q11011361,NormalRank,Q6581097,true,true,false,false,false,true
Q11016614,NormalRank,Q6581072,true,false,,,,
Q11032994,NormalRank,Q6581072,true,true,false,false,false,true
Q110576,NormalRank,Q6581072,true,true,false,false,false,true
Q110656156,NormalRank,Q6581072,true,false,,,,
Q110812967,NormalRank,Q6581097,true,false,,,,
Q110890,NormalRank,Q6581072,true,true,false,false,false,true
Q1109835,NormalRank,Q6581072,true,true,false,false,false,true
Q111187,NormalRank,Q6581097,true,true,true,false,false,false
Q111489,NormalRank,Q6581097,true,true,false,false,false,true
Q111546161,NormalRank,Q6581097,true,true,true,false,false,false
Q1120085,NormalRank,Q6581097,true,false,,,,
Q112040894,NormalRank,Q6581097,true,false,,,,
Q112165,NormalRank,Q6581072,true,true,false,false,false,true
Q112165,NormalRank,Q6581072,true,true,true,false,false,false
Q112210957,NormalRank,Q6581097,true,false,,,,
Q112225619,NormalRank,Q6581072,true,false,,,,
Q1122768,NormalRank,Q6581097,true,true,false,false,false,true
Q1122768,NormalRank,Q6581097,true,true,false,false,false,false
Q1133702,NormalRank,Q6581097,true,true,false,false,false,true
Q1133702,NormalRank,Q6581097,true,true,true,false,false,false
