item,itemLabel,itemDescription,jurisdiction,jurisdictionLabel,began,ended,type
Q108441164,Rama III Government,"government of Albania, 2021–",Q222,Albania,2021-09-17,,cabinet
Q105770617,Third Djerad government,,Q262,Algeria,2021-02-21,2021-07-07,cabinet
Q107447224,Benabderrahmane Cabinet,,Q262,Algeria,2021-07-07,,cabinet
Q108128269,Third Pashinyan government,government of Armenia,Q399,Armenia,2021-08-02,,cabinet
Q108714621,Cabinet Wever-Croes II,"Cabinet of Aruba, 2021–",Q21203,Aruba,2021-08-09,,cabinet
Q106959152,Sarma ministry,chief minister of Assam,Q1164,Assam,2021-05-10,,cabinet
Q108861070,Schallenberg government,Government of Austria,Q40,Austria,2021-10-11,2021-12-06,cabinet
Q109907459,Nehammer government,Government of Austria,Q40,Austria,2021-12-06,,cabinet
Q106715234,Cabinet Kretschmann III,state government of Baden-Württemberg,Q985,Baden-Württemberg,2021-05-12,,cabinet
Q109827596,Giffey senate,Government cabinet of the city-state of Berlin,Q64,Berlin,2021-12-21,,cabinet
Q104870459,Seventh Nitish Kumar ministry,nitish Kumar,Q1165,Bihar,2021-02-25,,cabinet
Q106803620,First Yanev Government,Government of Bulgaria,Q219,Bulgaria,2021-05-12,2021-09-16,cabinet
Q108559722,2nd Yanev Government,Government of Bulgaria,Q219,Bulgaria,2021-09-16,2021-12-13,cabinet
Q110026114,Petkov Government,current government of Bulgaria,Q219,Bulgaria,2021-12-13,2022-08-02,cabinet
Q107293235,Second government of Isabel Díaz Ayuso,,Q5756,Community of Madrid,2021-06-21,,cabinet
Q109453202,Petr Fiala's Cabinet,governing body of the Czech Republic,Q213,Czech Republic,2021-12-17,,cabinet
Q106866588,Lukonde cabinet,,Q974,Democratic Republic of the Congo,2021-04-26,,cabinet
Q106481416,Gobierno de Guillermo Lasso,Gobierno ecuatoriano,Q736,Ecuador,2021-05-24,,government
Q113455837,Cabinet of Guillermo Lasso,,Q736,Ecuador,2021-05-24,,cabinet
Q105071498,Kaja Kallas' first cabinet,government of Estonia from 2021-2022,Q191,Estonia,2021-01-26,2022-07-14,cabinet
Q110612600,Second Garibashvili government,,Q230,Georgia,2021-02-22,,cabinet
Q109712556,Scholz cabinet,cabinet in the German federal government headed by Chancellor Scholz,Q183,Germany,2021-12-08,,cabinet
Q106797236,Egede cabinet,Current government of Greenland,Q223,Greenland,2021-04-23,2022-04-05,cabinet
Q109046275,Béavogui Cabinet,,Q1006,Guinea,2021-10-21,,government
Q108704475,Bhupendrabhai Patel ministry,,Q1061,Gujarat,2021-09-13,,cabinet
Q109806885,Second cabinet of Katrín Jakobsdóttir,government of Iceland since 2021,Q189,Iceland,2021-11-28,,cabinet
Q107326691,Government of Ebrahim Raisi (2021-2025),incumbent government of Iran,Q794,Iran,2021-08-03,,cabinet
Q106306784,thirty-sixth government of Israel,Israeli coalition government formed in 2021,Q801,Israel,2021-06-13,,cabinet
Q105460407,Draghi Cabinet,67th government of the Italian Republic,Q38,Italy,2021-02-13,,cabinet
Q109037590,Achi I government,,Q1008,Ivory Coast,2021-04-06,2022-04-20,cabinet
Q108756771,Kishida Cabinet I,cabinet of Fumio Kishida,Q17,Japan,2021-10-04,2021-11-10,cabinet
Q109342903,Second Kishida Cabinet,101st Cabinet of Japan,Q17,Japan,2021-11-10,2022-08-10,cabinet
Q108044650,Basavaraj Bommai ministry,council of Ministers headed by Basavaraj Bommai,Q1185,Karnataka,2021-07-28,,cabinet
Q106869086,Second Vijayan ministry,overview of 14th ministry of Kerala,Q1186,Kerala,2021-05-20,,cabinet
Q106131506,Second Kurti cabinet,current government of Kosovo,Q1246,Kosovo,2021-03-22,,cabinet
Q110300636,39th Cabinet of Kuwait,,Q817,Kuwait,2021-12-28,2022-08-01,cabinet
Q109255623,Third Jarapov Cabinet,,Q813,Kyrgyzstan,2021-10-13,,cabinet
Q108487252,Third Cabinet of Najib Mikati,Current government of Lebanon,Q822,Lebanon,2021-09-10,,cabinet
Q108168800,Ismail Sabri cabinet,"Cabinet of Malaysia, 2021–",Q833,Malaysia,2021-08-21,,cabinet
Q109502333,Q109502333,state government of Mecklenburg-Vorpommern,Q1196,Mecklenburg-Western Pomerania,2021-11-15,,cabinet
Q107849269,Gavrilița Cabinet,Current Moldovan government,Q217,Moldova,2021-08-06,,cabinet
Q107523776,"Fifth Deuba Cabinet, 2021",cabinet of Nepal government,Q837,Nepal,2021-07-13,,cabinet
Q109232740,First Wüst cabinet,"state government in North Rhine-Westphalia, Germany",Q1198,North Rhine-Westphalia,2021-10-28,2022-06-28,cabinet
Q108870524,Støre's Cabinet,government of Norway headed by Jonas Gahr Støre,Q20,Norway,2021-10-14,,cabinet
Q106935353,Fourth Rangaswamy ministry,,Q66743,Puducherry,2021-05-07,,cabinet
Q108822156,Channi ministry,ministry of State in India,Q22424,Punjab,2021-09-20,2022-03-11,government
Q109037591,Makosso government,,Q971,Republic of the Congo,2021-05-15,,cabinet
Q106655020,Cabinet Dreyer III,"state government of Rhineland-Palatinate, Germany",Q1200,Rhineland-Palatinate,2021-05-18,,cabinet
Q109680585,Ciucă Cabinet,incumbent government of Romania,Q218,Romania,2021-11-25,,cabinet
Q107982879,Third Haseloff cabinet,state government of Saxony-Anhalt,Q1206,Saxony-Anhalt,2021-09-16,,cabinet
Q106906168,Government of the 6th Scottish Parliament,Scottish Government following the May 2021 Scottish Parliament general election,Q22,Scotland,2021-05-19,,cabinet
Q106303161,Heger's Cabinet,government,Q214,Slovakia,2021-04-01,,cabinet
Q107443672,Cabinet Löfven III,,Q34,Sweden,2021-07-09,2021-11-30,cabinet
Q109705067,Andersson Cabinet,cabinet of Sweden,Q34,Sweden,2021-11-30,2022-09-15,cabinet
Q108803115,Second Hussein Arnous government,government of Syria,Q858,Syria,2021-08-10,,cabinet
Q106920492,M. K. Stalin ministry,United Progressive Alliance's Government in Tamil Nadu,Q1445,Tamil Nadu,2021-05-07,,cabinet
Q106610313,Suluhu Cabinet,,Q924,Tanzania,2021-03-31,,cabinet
Q108866852,Bouden Cabinet,Tunisian government,Q948,Tunisia,2021-10-11,,cabinet
Q101250904,Cabinet of Joe Biden,members of United States president Joe Biden's Cabinet,Q30,United States of America,2021-01-20,,cabinet
Q106179617,Tirath Singh Rawat ministry,,Q1499,Uttarakhand,2021-03-10,2021-07-03,cabinet
Q107564437,Dhami ministry,,Q1499,Uttarakhand,2021-07-04,,cabinet
Q105580806,Third Shadow Cabinet of Andrew R. T. Davies,,Q25,Wales,2021-01-24,2021-04-29,
Q106874092,Second Drakeford government,current Welsh Government from 2021,Q25,Wales,2021-05-13,,cabinet
Q107017727,Fourth Shadow Cabinet of Andrew R. T. Davies,Senedd Shadow Cabinet since 2021,Q25,Wales,2021-05-27,,
