item,itemLabel,itemDescription,jurisdiction,jurisdictionLabel,began,ended,type
Q80810433,Second Kurz cabinet,Government of Austria,Q40,Austria,2020-01-07,2021-10-11,cabinet
Q98968640,Third Urkullu Government,,Q3995,Basque Autonomous Community,2020-09-05,,cabinet
Q87810430,Wilmès II Government,federal government of Belgium in 2020,Q31,Belgium,2020-03-17,2020-10-01,cabinet
Q99749625,De Croo government,Belgian federal government since 2020,Q31,Belgium,2020-10-01,,cabinet
Q101230919,Arce Cabinet,Bolivian presidential administration and ministerial cabinet from 2020 to present,Q750,Bolivia,2020-11-09,,cabinet
Q97516131,Ndayishimiye cabinet,,Q967,Burundi,2020-06-28,,cabinet
Q97652364,Cabinet of Andrej Plenković II,current government of Croatia,Q224,Croatia,2020-07-23,,cabinet
Q85809061,Third Kejriwal cabinet,,Q1353,Delhi,2020-02-16,,cabinet
Q96872687,Castex government,42nd Government of the French Fifth Republic,Q142,France,2020-07-03,2022-05-16,cabinet
Q109037604,Fourth government of Alberto Núñez Feijóo,,Q3908,Galicia,2020-09-07,2022-05-16,cabinet
Q109373930,Second Gakharia government,,Q230,Georgia,2020-12-24,2021-02-18,cabinet
Q66380860,Cabinet of Alejandro Giammattei,government of Guatemala,Q774,Guatemala,2020-01-14,,cabinet
Q95995340,Second Senate Tschentscher,"cabinet of the government of the free city and state of Hamburg, Germany",Q1055,Hamburg,2020-06-10,,cabinet
Q100258471,Al-Kadhimi Government,government of Iraq (from 2020),Q796,Iraq,2020-05-06,,cabinet
Q28196000,thirty-fifth government of Israel,Israeli coalition government from 2020 to 2021,Q801,Israel,2020-05-17,2021-06-13,cabinet
Q99372867,Suga Cabinet,cabinet of Yoshihide Suga,Q17,Japan,2020-09-16,2021-10-04,cabinet
Q100261677,Bisher Al-Khasawneh Cabinet,Current government of Jordan,Q810,Jordan,2020-10-12,,cabinet
Q85775139,Kurti Cabinet,cabinet of Kosovo formed on 3 February 2020,Q1246,Kosovo,2020-02-03,2020-06-03,cabinet
Q96418577,Hoti cabinet,,Q1246,Kosovo,2020-06-03,2021-03-22,cabinet
Q100451004,First Japarov Cabinet,,Q813,Kyrgyzstan,2020-10-14,2021-02-03,cabinet
Q83412008,Cabinet of Hassan Diab,Lebanese government,Q822,Lebanon,2020-01-21,2020-08-10,cabinet
Q101558001,Šimonytė Cabinet,18th cabinet of Lithuania,Q37,Lithuania,2020-12-11,,cabinet
Q96405562,Shivraj Singh Chouhan Fourth ministry,,Q1188,Madhya Pradesh,2020-03-23,,cabinet
Q86757350,Muhyiddin cabinet,21st and current Cabinet of Malaysia under Prime Minister Muhyiddin Yassin,Q833,Malaysia,2020-03-01,2021-08-16,cabinet
Q104845985,First Cabinet of Ukhnaagiin Khürelsükh,,Q711,Mongolia,2020-07-08,2021-01-21,cabinet
Q101252425,Krivokapić Cabinet,government of Montenegro,Q236,Montenegro,2020-12-04,2022-04-28,cabinet
Q39053681,6th Executive of Northern Ireland,Incumbent executive of Northern Ireland,Q26,Northern Ireland,2020-01-11,,cabinet
Q94279874,Government of President Bzhania,government of Abkhazia,Q31354462,Republic of Abkhazia,2020-04-23,,cabinet
Q47090619,Martin ministry,Incumbent government of Ireland,Q27,Republic of Ireland,2020-06-27,,cabinet
Q87719497,Second Orban Cabinet,government of Romania until the 2020 legislative elections,Q218,Romania,2020-03-14,2020-12-23,cabinet
Q104440634,Cîțu Cabinet,131st cabinet of Romania,Q218,Romania,2020-12-23,2021-10-05,cabinet
Q104440634,Cîțu Cabinet,131st cabinet of Romania,Q218,Romania,2020-12-23,2021-11-25,cabinet
Q82455849,Mikhail Mishustin's Cabinet,Government of Russia; (2020 to present),Q159,Russia,2020-01-21,,cabinet
Q109255408,Hajiji cabinet,"government ministry in Sabah, Malaysia",Q179029,Sabah,2020-10-29,,cabinet
Q109037626,Fourth Sall Cabinet,,Q1041,Senegal,2020-11-01,,cabinet
Q100858235,Second cabinet of Ana Brnabić,period in Serbian politics,Q403,Serbia,2020-10-28,,cabinet
Q97667547,Fifth Lee Hsien Loong Cabinet,Cabinet of Singapore 2020–,Q334,Singapore,2020-07-27,,cabinet
Q95422886,Second Jacobs cabinet,,Q26273,Sint Maarten,2020-03-28,,cabinet
Q87813526,Matovič’s Cabinet,"Government of the Slovak Republic, led by Prime Minister Igor Matovič",Q214,Slovakia,2020-03-21,2021-04-01,cabinet
Q86754501,14th Government of Slovenia,Incumbent government of Slovenia,Q215,Slovenia,2020-03-13,2022-05-25,cabinet
Q80922158,Sánchez II Government,incumbent government of the Kingdom of Spain,Q29,Spain,2020-01-13,,cabinet
Q104847864,Second Gotabaya Rajapaksa cabinet,government of Sri Lanka,Q854,Sri Lanka,2020-08-12,2022-04-03,cabinet
Q97482082,Cabinet Santkohi,Surinamese cabinet (2020-2025),Q730,Suriname,2020-07-16,2025-01-01,cabinet
Q98945563,Hussein Arnous government,2020-2021 Syrian cabinet,Q858,Syria,2020-08-30,2021-08-10,cabinet
Q84321327,Second Cabinet Ramelow,state government of Thuringia,Q1205,Thuringia,2020-03-04,,cabinet
Q86514032,Fakhfakh Cabinet,Tunisian government,Q948,Tunisia,2020-02-27,2020-09-02,government
Q98831546,Mechichi Cabinet,Tunisian government,Q948,Tunisia,2020-09-02,2021-07-25,government
Q87070710,Shmyhal Government,current government of Ukraine,Q212,Ukraine,2020-03-04,,cabinet
Q104865347,Zaia III Government,,Q1243,Veneto,2020-10-16,,government
