page,item,itemLabel,country,countryLabel,jurisdiction,jurisdictionLabel,inception,abolished
List of current governments,Q111973484,List of current governments,,,,,,
Von der Leyen Commission,Q65590503,Von der Leyen Commission,,,Q458,European Union,2019-12-01,
Hamas government of October 2016,Q28419419,Hamas government of 2016,,,Q39760,Gaza Strip,2016-10-17,2016-11-30
Second Egede cabinet,Q111486937,Second Egede cabinet,,,Q223,Greenland,2022-04-05,
Third Weil cabinet,Q114979509,Third Weil cabinet,,,Q1197,Lower Saxony,2022-11-08,
Second Harutyunyan government,Q96405231,Second Harutyunyan government,,,Q244165,Republic of Artsakh,2020-05-21,
Second W. Misick ministry,Q109776355,Second Misick Cabinet,,,Q18221,Turks and Caicos Islands,2021-02-24,
Cabinet of Afghanistan,Q603838,Cabinet of Afghanistan,Q889,Afghanistan,Q889,Afghanistan,,
Rama III Government,Q108441164,Rama III Government,Q222,Albania,Q222,Albania,2021-09-17,
Benabderrahmane government,Q107447224,Benabderrahmane Cabinet,Q262,Algeria,Q262,Algeria,2021-07-07,
Presidency of Alberto Fernández,Q78155250,presidency of Alberto Fernández,Q414,Argentina,Q414,Argentina,,
Third Pashinyan government,Q108128269,Third Pashinyan government,Q399,Armenia,Q399,Armenia,2021-08-02,
Albanese ministry,Q112114760,Albanese ministry,Q408,Australia,Q408,Australia,2022-05-23,
Nehammer government,Q109907459,Nehammer government,Q40,Austria,Q40,Austria,2021-12-06,
Cabinet of Azerbaijan,Q13410372,Cabinet of Azerbaijan,Q227,Azerbaijan,Q227,Azerbaijan,1991-01-01,
8th Government of Azerbaijan,Q65279005,Asadov Cabinet,Q227,Azerbaijan,Q227,Azerbaijan,2018-04-01,
Government of Belarus,Q997640,Council of Ministers of the Republic of Belarus,Q184,Belarus,Q184,Belarus,,
De Croo Government,Q99749625,De Croo government,Q31,Belgium,Q31,Belgium,2020-10-01,
Cabinet of Luis Arce,Q101230919,Arce Cabinet,Q750,Bolivia,Q750,Bolivia,2020-11-09,
Cabinet of Zoran Tegeltija,Q97256455,Cabinet of Zoran Tegeltija,Q225,Bosnia and Herzegovina,Q225,Bosnia and Herzegovina,2019-12-23,
Presidency of Jair Bolsonaro,Q58493777,government of Jair Bolsonaro,Q155,Brazil,Q155,Brazil,2019-01-01,
Donev government,Q113376096,Donev Government,Q219,Bulgaria,Q219,Bulgaria,2022-08-02,
Patriotic Movement for Safeguard and Restoration,Q110666433,Patriotic Movement for Safeguard and Restoration,Q965,Burkina Faso,Q965,Burkina Faso,2022-01-24,
