item,itemLabel,position,positionLabel,predecessor,predecessorLabel,after,jurisdictionLabel,others
Q99193104,Charlotte Caubel,Q107659110,Minister of State for Children and Families,Q30344625,Adrien Taquet,2022-05-16,France,4
Q111795565,Marko Kovač,Q107740265,Minister of Justice and Human and Minority Rights,Q97999161,Zdravko Krivokapić,2022-04-28,Montenegro,1
Q5278077,Dinesh Gunawardena,Q107612173,"Minister of Public Services, Provincial Councils & Local Government",Q16185625,Janaka Bandara Tennakoon,2022-04-03,Sri Lanka,7
Q20983280,Wimalaweera Dissanayake,Q107612192,Minister of Wildlife & Forest Conservation,Q259229,C. B. Rathnayake,2022-04-03,Sri Lanka,2
Q111509236,Jo Etienne Abela,Q109689775,Minister for Senior Citizens and Active Aging,Q37861149,Michael Farrugia,2022-03-30,Malta,1
Q17315715,Miriam Dalli,Q108265790,"Minister for the Environment, Climate Change and Planning",Q4661996,Aaron Farrugia,2022-03-30,Malta,3
Q7647681,Susan Close,Q50826500,Minister for Environment and Water,Q16885817,David Speirs,2022-03-21,South Australia,8
Q16729821,Katrine Hildyard,Q50865231,"Minister for Recreation, Sport and Racing",Q16728204,Corey Wingard,2022-03-21,South Australia,2
Q4734363,Alondra Nelson,Q19817711,Science Advisor to the President,Q970550,Eric Lander,2022-02-18,United States of America,1
Q110915463,Otar Shamugia,Q108377218,Minister of the Environment,Q31354638,Levan Davitashvili,2022-02-09,Georgia,1
Q5687576,Hazara Pindi Chana,Q114568880,Minister of State in the Prime Minister's Office,Q11978376,Jenista Mhagama,2022-01-10,Tanzania,2
Q71235827,Sam Farraway,Q6865982,Minister for Transport (New South Wales),Q7154043,Paul Toole,2021-12-21,New South Wales,1
Q114698785,Maxime Lomboza Koné,Q114698152,Minister of Security,Q114698850,Ousséni Compaoré,2021-12-10,Burkina Faso,1
Q114698645,Moussa Kaboré,Q114698182,Minister of Agriculture,Q85854637,Salifou Ouedraogo,2021-12-08,Burkina Faso,1
Q18202528,Jean-Baptiste Lemoyne,Q107659379,Minister Delegate for Small and Medium-sized Enterprises,Q33280111,Alain Griset,2021-12-08,France,4
Q28084569,Dan Vîlceanu,Q21504218,Minister of European Funds,Q28035183,Florin Cîțu,2021-11-25,Romania,6
Q109700122,Florin Spătaru,Q21504183,"Minister of Economy, Entrepreneurship and Tourism",Q28113715,Virgil-Daniel Popescu,2021-11-25,Romania,1
Q109917990,Mariane Paviasen,Q107715952,"Minister for Housing, Infrastructure, Minerals and Gender Equality",Q53872865,Naaja H. Nathanielsen,2021-11-23,Greenland,1
Q20066227,Iryna Vereshchuk,Q107693992,Minister for Reintegration of the Temporarily Occupied Territories,Q4392444,Oleksii Reznikov,2021-11-03,Ukraine,3
Q3034854,Dominic LeBlanc,Q23890887,Minister of Infrastructure and Communities,Q21335996,Catherine McKenna,2021-10-26,Canada,6
Q29139548,Mary Ng,Q85785667,Minister of Economic Development and Official Languages,Q15054353,Mélanie Joly,2021-10-26,Canada,2
Q55238035,Muferihat Kamil Ahmed,Q109991517,Minister of Labor and Social Affairs,Q104822337,Ergoge Tesfaye,2021-10-06,Ethiopia,3
Q109993975,Belete Molla,Q109991209,"Minister of Science and Technology, Ethiopia",Q109536191,Abraham Belay,2021-10-06,Ethiopia,1
Q28084569,Dan Vîlceanu,Q21504218,Minister of European Funds,Q12725938,Cristian Ghinea,2021-09-06,Romania,6
Q28113961,Constantin-Daniel Cadariu,Q21504183,"Minister of Economy, Entrepreneurship and Tourism",Q28035503,Claudiu Năsui,2021-09-06,Romania,2
Q109700122,Florin Spătaru,Q21504183,"Minister of Economy, Entrepreneurship and Tourism",Q28035503,Claudiu Năsui,2021-09-06,Romania,1
Q109296984,Bernard Goumou,Q114662338,Minister of Commerce,Q90422307,Mariama Camara,2021-09-05,Guinea,1
Q12319657,Jesper Petersen,Q12312037,Education and Research Minister,Q12301637,Ane Halsboe-Jørgensen,2021-08-16,Kingdom of Denmark,2
Q24572400,Mohammad Yaqoob,Q3246669,Vice President of Afghanistan,Q7424823,Sarwar Danish,2021-08-15,Afghanistan,3
Q2246940,Sirajuddin Haqqani,Q3246669,Vice President of Afghanistan,Q477828,Amrullah Saleh,2021-08-15,Afghanistan,2
Q24237654,Hibatullah Akhundzada,Q1140706,President of Afghanistan,Q172388,Ashraf Ghani,2021-08-15,Afghanistan,1
Q114804379,Zely Randriamanantany,Q98582633,Minister of Health of Madagascar,Q98582653,Jean Louis Hanitrala Rakotovao,2021-08-15,Madagascar,0
Q444675,Shona Robison,Q30763439,"Cabinet Secretary for Communities, Social Security and Equalities",Q405017,Aileen Campbell,2021-05-20,Scotland,10
Q24014894,Mairi Gougeon,Q30763620,Cabinet Secretary for the Rural Economy and Connectivity,Q559022,Fergus Ewing,2021-05-20,Scotland,3
Q1738042,Keith Brown,Q5015480,Cabinet Secretary for Justice,Q174924,Humza Yousaf,2021-05-20,Scotland,9
Q1740263,Kevin Stewart,Q115666454,Minister for Mental Health,Q24025938,Clare Haughey,2021-05-20,Scotland,5
Q24052665,Ben Macpherson,Q6865919,Minister for Local Government and Community Empowerment,Q1740263,Kevin Stewart,2021-05-20,Scotland,5
Q24052670,Ivan McKee,Q6865811,"Minister for Business, Energy and Tourism",Q1681399,Jamie Hepburn,2021-05-20,Scotland,3
Q89190512,Viktor Liashko,Q6866179,Minister of Healthcare,Q28665698,Maksym Stepanov,2021-05-18,Ukraine,2
Q7301733,Rebecca Evans,Q60370277,Minister for Housing and Local Government,Q6308284,Julie James,2021-05-13,Wales,7
Q7917285,Vaughan Gething,Q60370166,Minister for Economy and Transport,Q6388501,Ken Skates,2021-05-13,Wales,7
Q24706040,Jeremy Miles,Q60370401,Minister for Education,Q5660402,Kirsty Williams,2021-05-13,Wales,4
Q3317910,Modeste Mutinga,Q112221006,Minister of Humanitarian Affairs,Q97446584,Steve Mbikayi Mabuluki,2021-04-26,Democratic Republic of the Congo,2
Q30234245,Leo Docherty,Q23641739,Minister of State for Veterans' Affairs,Q20127929,Johnny Mercer,2021-04-20,United Kingdom,6
Q65934265,Sabine Monauni,Q115667540,"Minister of Home Affairs, Education and Environment",Q30883975,Dominique Hasler,2021-03-25,Liechtenstein,1
Q65934265,Sabine Monauni,Q115427093,"Minister of Infrastructure, Economic Affairs and Sports",Q30882650,Daniel Risch,2021-03-25,Liechtenstein,1
Q62566689,Bouake Fofana,Q114777321,Minister of Health,Q30728030,Anne Desirée Ouloto,2021-03-24,Ivory Coast,2
Q114451992,Khampheng Xaysompheng,Q113947545,Minister of Industry and Commerce,Q106485453,Khemmani Pholsena,2021-03-22,Laos,0
Q105637570,Frederick Shava,Q110197765,Minister of Regional Integration and International Cooperation,Q43180489,Sibusiso Moyo,2021-01-20,Zimbabwe,2
Q109296984,Bernard Goumou,Q114662321,Minister of Agriculture,Q90422307,Mariama Camara,2021-01-15,Guinea,1
Q84755125,Jackson Kafuuzi,Q28404009,Attorney General of Uganda,Q24572632,William Byaruhanga,2021-01-01,Uganda,2
Q24014894,Mairi Gougeon,Q6865944,Minister for Public Health,Q1612012,Joe FitzPatrick,2020-12-18,Scotland,3
Q1347631,Ghulam Ahmad Bilour,Q57650391,Federal Minister for Railways,Q7462429,Sheikh Rasheed Ahmed,2020-12-11,Pakistan,1
Q37861067,Justyne Caruana,Q30107297,Minister for Education and Employment,Q16199692,Owen Bonnici,2020-11-23,Malta,2
Q4866775,Bashar Jaafari,Q113989577,Deputy Minister of Foreign Affairs of Syria,Q5431067,Faisal Mekdad,2020-11-22,Syria,1
Q112245464,Ramiro Villavicencio,Q110419034,Minister of Mining and Metallurgy,Q98640232,Jorge Oropeza Terán,2020-11-08,Bolivia,0
Q101110528,Sylvestre Radegonde,Q110146617,"Minister of Tourism, Civil Aviation, Ports and Marine",Q21015395,Didier Dogley,2020-10-30,Seychelles,1
Q55106173,Robert Tapaitau,Q5261076,Deputy Prime Minister of the Cook Islands,Q6766871,Mark Brown,2020-10-01,Cook Islands,1
Q7045446,Annika Saarikko,Q21141009,Minister of Science and Culture,Q5648706,Hanna Kosonen,2020-08-05,Finland,5
Q114674059,Mbemba Moussa Keita,Q64029451,Minister of Internal Security and Civil Protection,Q30121857,Salif Traoré,2020-07-27,Mali,0
Q83985420,Nikolina Brnjac,Q110124195,Minister of Tourism,Q12631372,Gari Cappelli,2020-07-23,Croatia,1
Q54810256,Darko Horvat,Q108069383,Minister of State Property,Q65922962,Mario Banožić,2020-07-23,Croatia,2
Q33172434,Clément Beaune,Q87717124,"Minister of State for Tourism, French Nationals Abroad and Francophonie",Q30379410,Amélie de Montchalin,2020-07-06,France,3
Q16733515,Abdullah Al Nuaimi,Q113379896,Minister of Climate Change and Environment,Q24259941,Thani Ahmed Alzeyoudi,2020-07-05,United Arab Emirates,0
Q4864133,Barry Cowen,Q6865750,"Minister for Agriculture, Food and the Marine",Q6829535,Michael Creed,2020-06-27,Republic of Ireland,2
Q5693903,Heather Humphreys,Q6865958,Minister for Social Protection,Q7308461,Regina Doherty,2020-06-27,Republic of Ireland,6
Q106338466,Kitila Mkumbo,Q114568848,Minister of State in the President's Office,Q16215848,Angellah Kairuki,2020-06-16,Tanzania,1
Q5047760,Carál Ní Chuilín,Q24321666,Minister of Communities,Q55069282,Deirdre Hargey,2020-06-14,Northern Ireland,6
Q2120884,Yaakov Litzman,Q20021264,Minister of Construction,Q19634043,Yifat Shasha-Biton,2020-05-17,Israel,3
Q21794010,Amir Ohana,Q20021305,Minister of Public Security of Israel,Q2663804,Gilad Erdan,2020-05-17,Israel,2
Q114777314,Albert Flinde,Q26959610,Minister of African Integration,Q2838739,Ally Coulibaly,2020-05-13,Ivory Coast,0
Q9376709,Wojciech Murdzek,Q101246696,Minister of Science and Higher Education,Q222905,Jarosław Gowin,2020-04-08,Poland,2
Q90071096,Marcelo Navajas,Q98966129,Minister of Health of Bolivia,Q88328669,Aníbal Cruz,2020-04-08,Bolivia,0
Q30728164,Othman El Ferdaous,Q96093400,Minister of Youth and Sport,Q84607015,Hassan Abyaba,2020-04-07,Morocco,0
Q3156132,Ivan Korčok,Q2501411,Minister of Foreign Affairs,Q467905,Miroslav Lajčák,2020-03-20,Slovakia,4
Q10861634,Zvone Černač,Q95397673,"Minister without portfolio, competent for strategic projects and cohesion",Q524225,Angelika Mlinar,2020-03-13,Slovenia,3
Q4392444,Oleksii Reznikov,Q53678071,Minister of Temporarily Occupied Territories and IDPs,Q66902492,Oksana Koliada,2020-03-04,Ukraine,3
Q17371650,Serhiy Bessarab,Q53678071,Minister of Temporarily Occupied Territories and IDPs,Q66902492,Oksana Koliada,2020-03-04,Ukraine,1
Q105927023,Anton Quni,Q107601182,Minister of the Ministry of Defense,Q55759676,Rrustem Berisha,2020-02-03,Kosovo,0
Q48472383,Ukur Yatani Kanacho,Q11794685,Minister for Finance of Kenya,Q12012313,Henry Rotich,2020-01-14,Kenya,4
Q23939777,José Luis Escrivá Belmonte,Q87001438,"minister of Labor, Migration and Social Security",Q5989717,Magdalena Valerio Cordero,2020-01-13,Spain,2
Q55280662,Lucia Azzolina,Q3721646,"Italian Minister of Education, Universities and Research",Q53844829,Giuseppe Conte,2020-01-10,Italy,2
Q55069282,Deirdre Hargey,Q24323272,Minister of Finance,Q13586248,Máirtín Ó Muilleoir,2020-01-07,Northern Ireland,4
Q19646358,Reezal Merican Naina Merican,Q30601401,Minister of Youth and Sports,Q39050368,Syed Saddiq Abdul Rahman,2020-01-01,Malaysia,2
Q66497825,Shiva Maya Tumbahamphe,Q109747502,"Minister of Law, Justice and Parliamentary Affairs",Q3109312,Upendra Yadav,2019-12-24,Nepal,0
Q19873325,Kevin Foster,Q6866360,Minister of State for Immigration,Q20195397,Seema Kennedy,2019-12-16,United Kingdom,5
Q941258,Ginés González García,Q28504123,Minister of Health,Q21558292,Carolina Stanley,2019-12-10,Argentina,1
Q47117980,Daniel Fernando Arroyo,Q28504123,Minister of Health,Q21558292,Carolina Stanley,2019-12-10,Argentina,2
Q37861162,Julia Farrugia Portelli,Q108265825,Minister for Tourism,Q15711259,Konrad Mizzi,2019-11-26,Malta,3
Q4492815,Chrystia Freeland,Q16847971,Minister of Intergovernmental Affairs,Q3034854,Dominic LeBlanc,2019-11-20,Canada,5
Q5214525,Dan Vandal,Q16847971,Minister of Intergovernmental Affairs,Q3034854,Dominic LeBlanc,2019-11-20,Canada,5
Q21336208,Marco Mendicino,Q3251837,Minister of Canadian Heritage,Q3359999,Pablo Rodríguez,2019-11-20,Canada,3
Q29139548,Mary Ng,Q748607,Minister of International Trade,Q6194065,Jim Carr,2019-11-20,Canada,2
Q60735890,Bhanu Bhakta Dhakal,Q109747489,Minister of Health and Population,Q3109312,Upendra Yadav,2019-11-20,Nepal,0
Q16934197,Mohammad Al Khalid Al Sabah,Q110526533,Deputy Prime Minister of Kuwait,Q12219691,Sabah Al-Khalid Al-Sabah,2019-11-19,Kuwait,2
Q16727368,Makhdoom Khusro Bakhtiar,Q109748900,Federal Minister for National Food Security and Research,Q33528842,Muhammad Mehboob Sultan,2019-11-18,Pakistan,5
Q5313444,Dullas Alahapperuma,Q112630341,Minister of Sports,Q16217323,Harin Fernando,2019-11-17,Sri Lanka,5
Q2301106,Tzachi Hanegbi,Q15731462,Minister of Agriculture and Rural Development,Q2375726,Uri Ariel,2019-11-15,Israel,3
Q28672540,Michał Kurtyka,Q110811953,Minister of the Environment,Q432110,Henryk Kowalczyk,2019-11-15,Poland,1
Q85981586,Viorica Dumbrăveanu,Q108219527,Minister of Health,Q12720160,Ala Nemerenco,2019-11-14,Moldova,1
Q47931314,Frans Kapofi,Q110395103,Minister of Justice,Q53864889,Sacky Shanghala,2019-11-13,Namibia,3
Q85981817,Sergiu Pușcuța,Q108219454,Deputy Prime Minister,Q21746918,Andrei Năstase,2019-11-12,Moldova,1
Q12496110,Mahendra Siregar,Q57352004,Vice Minister of Foreign Affairs,Q4119908,Abdurrahman Mohammad Fachir,2019-10-27,Indonesia,0
Q12470931,Agus Gumiwang Kartasasmita,Q108300310,Minister of Industry,Q12471140,Airlangga Hartarto,2019-10-20,Indonesia,4
Q3567558,"Malakai Fakatoufifita, 15th Lord Tuʻilakepa",Q108888397,Minister for Fisheries,Q96482295,Semisi Fakahau,2019-10-10,Tonga,3
Q6381788,Kazuyoshi Akaba,Q842012,"Minister of Land, Infrastructure, Transport and Tourism",Q1737905,Keiichi Ishii,2019-09-11,Japan,1
Q18165811,Francine Landry,Q16847971,Minister of Intergovernmental Affairs,Q3116362,Greg Thompson,2019-09-10,Canada,1
Q66902492,Oksana Koliada,Q107620701,Minister for Veterans' Affairs of Ukraine,Q19237116,Iryna Fris,2019-08-29,Ukraine,1
Q57584346,Hernán Lacunza,Q115678894,Minister of the Treasury,Q28058759,Nicolás Dujovne,2019-08-17,Argentina,2
Q795241,B. S. Yeddyurappa,Q53761260,Chief Minister of Karnataka,Q251790,H. D. Kumaraswamy,2019-07-26,Karnataka,3
Q479171,Amber Rudd,Q3315134,Minister for Women and Equalities,Q580464,Penny Mordaunt,2019-07-24,United Kingdom,9
Q12886185,Christos Staïkouras,Q19752714,Minister of Economy of Greece,Q19428891,Euclid Tsakalotos,2019-07-09,Greece,3
Q65273202,Lina Mendoni,Q19904334,Minister of Culture of Greece,Q11787642,Myrsini Zorba,2019-07-09,Greece,1
Q20995447,Níki Keraméos,Q23718008,"Minister of Education, Lifelong Learning and Religions of Greece",Q26807805,Kostas Gavroglu,2019-07-09,Greece,2
Q463680,Astrid Krag,Q18913269,Minister of the Interior of Denmark,Q952472,Simon Emil Ammitzbøll,2019-06-27,Kingdom of Denmark,4
Q220579,Zoran Zaev,Q12908644,Minister of Finance,Q30149722,Dragan Tevdovski,2019-06-26,North Macedonia,3
Q19201160,Dudi Amsalem,Q20021270,Minister of Communications,Q2584267,Ayoob Kara,2019-06-26,Israel,2
Q12720160,Ala Nemerenco,Q110158331,"Minister of Health, Labour and Social Protection",Q27346919,Silvia Radu,2019-06-08,Moldova,1
Q65216675,Liliana Nicolaescu-Onofrei,Q108084563,Minister of Education and Research,Q15071201,Monica Babuc,2019-06-08,Moldova,1
Q5485318,Ville Skinnari,Q11895142,Minister for European Affairs and Foreign Trade,Q4984722,Anne-Mari Virolainen,2019-06-06,Finland,3
Q975366,Gwede Mantashe,Q20981735,Minister of Energy,Q1686353,Jeff Radebe,2019-05-30,South Africa,2
Q5655835,Hardeep Singh Puri,Q18390718,Minister of Civil Aviation,Q7645772,Suresh Prabhu,2019-05-30,India,4
Q14647783,Harsh Vardhan,Q17073489,Minister of Health and Family Welfare,Q16193764,Jagat Prakash Nadda,2019-05-30,India,4
Q21170728,Mansukh L. Mandaviya,Q16875646,Minister of Shipping (India),Q3504520,Nitin Gadkari,2019-05-30,India,3
Q7150671,Paul Fletcher,Q11796917,"Minister for Communications, Urban Infrastructure, Cities and the Arts",Q6880868,Mitch Fifield,2019-05-29,Australia,2
Q16193273,Thulas Nxesi,Q108005366,Minister of Labour,Q16765319,Mildred Oliphant,2019-05-29,South Africa,5
Q5429402,Faggan Singh Kulaste,Q6866391,Minister of Steel,Q7935991,Vishnu Deo Sai,2019-05-24,India,3
Q56403525,Jordi Gallardo Fernández,Q66059884,"minister of Economy, Competitiveness and Innovation",Q3105855,Gilbert Saboya Sunyé,2019-05-20,Andorra,2
Q64746863,Richard Maru,Q113575677,Minister of Finance,Q28966596,Samuel Basil,2019-05-13,Papua New Guinea,2
Q22949078,Ahmed Awad Ibn Auf,Q14948193,President of Sudan,Q57265,Omar al-Bashir,2019-04-11,Sudan,2
Q3612630,Kim Yong-jae,Q113947137,Minister of Foreign Trade of North Korea,Q16181667,Ri Ryong-nam,2019-04-11,North Korea,0
Q62733595,Karen Cummings,Q113470671,Minister of Foreign Affairs,Q53848199,Carl Barrington Greenidge,2019-04-01,Guyana,1
Q30379410,Amélie de Montchalin,Q3251882,Minister of European Affairs of France,Q16666184,Nathalie Loiseau,2019-03-27,France,4
Q62656125,Q62656125,Q90315932,Minister of Agriculture and Food of the Republic of Belarus,Q13031225,Lieanid Zajac,2019-03-27,Belarus,0
Q6257833,John Sidoti,Q113514524,Minister for Veterans Affairs,Q5233352,David Elliott,2019-03-23,New South Wales,1
Q21384927,Carla Qualtrough,Q3253692,President of the Treasury Board,Q19428856,Jane Philpott,2019-03-04,Canada,3
Q62714099,Ruslan Dälenov,Q107752575,Minister of National Economy,Q28500626,Timur Suleimenov,2019-02-25,Kazakhstan,0
Q24248226,Oyunerdene Luvsannamsrai,Q110167704,Chief Cabinet Secretary,Q4142905,Gombojavyn Zandanshatar,2019-02-02,Mongolia,1
Q35561192,Barbara Oteng Gyasi,Q94955285,Minister of Tourism of Ghana,Q31751713,Catherine Ablema Afeku,2019-02-01,Ghana,1
Q89286571,Lantosoa Rakotomalala,Q114798290,Minister of Commerce,Q54805235,Yvette Sylla,2019-01-24,Madagascar,1
Q3594634,ʻAkilisi Pohiva,Q108888368,Minister for Public Enterprises,Q96278954,Saia Piukala,2019-01-23,Tonga,4
Q15890263,Evangelos Apostolakis,Q6865935,Minister for National Defence of Greece,Q1467594,Panos Kammenos,2019-01-15,Greece,2
Q265006,Moshe Kahlon,Q20021264,Minister of Construction,Q723506,Yoav Galant,2019-01-02,Israel,4
Q56347746,Paulo Roberto Nunes Guedes,Q18176438,Minister of Finance of Brazil,Q56346652,Eduardo Guardia,2019-01-01,Brazil,1
Q19607958,Sergio Moro,Q59346266,Minister of Public Security,Q10357609,Raul Jungmann,2019-01-01,Brazil,1
Q560296,Askar Zhumagaliyev,Q107752568,"Minister of Digital Development, Innovation and Aerospace Industry",Q4072002,Beibut Bakirovich Atamkulov,2018-12-26,Kazakhstan,1
Q3529157,Gamini Jayawickrama Perera,Q107612151,"Minister of Buddhasasana, Religious & Cultural Affairs",Q7876981,Udaya Gammanpila,2018-12-15,Sri Lanka,2
Q86721769,Lorena Aguilar Revelo,Q6402752,Minister of Foreign Affairs,Q5384033,Epsy Campbell Barr,2018-12-11,Costa Rica,0
Q15275863,Carole Dieschbourg,Q30250859,Minister for Sustainability and Infrastructure,Q3083923,François Bausch,2018-12-05,Luxembourg,2
Q3247154,Romain Schneider,Q95146928,Minister of Agriculture of Luxembourg,Q13102568,Fernand Etgen,2018-12-05,Luxembourg,4
Q59465834,Paulette Lenert,Q95146928,Minister of Agriculture of Luxembourg,Q13102568,Fernand Etgen,2018-12-05,Luxembourg,5
Q28113999,Constantin-Bogdan Matei,Q20884417,Minister of Communications and Information Society,Q47519680,Petru-Bogdan Cojocaru,2018-11-20,Romania,2
Q5934127,Reza Rahmani,Q110042550,"Minister of Industry, Mining and Trade",Q6892441,Mohammad Shariatmadari,2018-10-20,Iran,1
Q312015,Alexis Tsipras,Q16147098,Minister for Foreign Affairs of Greece,Q12881818,Nikos Kotzias,2018-10-17,Greece,3
Q3027038,Didier Guillaume,Q61649628,Minister of Agriculture and Food,Q3502105,Stéphane Travert,2018-10-16,France,6
Q1704924,Takumi Nemoto,Q841962,"Minister of Health, Labour and Welfare",Q6378155,Katsunobu Kato,2018-10-02,Japan,1
Q17019030,Sheharyar Afridi,Q6865966,Minister for States and Frontier Regions,Q18815900,Chaudhary Tariq Bashir Cheema,2018-09-06,Pakistan,3
Q7150671,Paul Fletcher,Q6865821,Minister for Social Services,Q5214486,Dan Tehan,2018-08-28,Australia,2
Q16214788,David Coleman,Q111097787,Minister for Citizenship and Multicultural Affairs,Q4707935,Alan Tudge,2018-08-28,Australia,3
Q7614564,Steven Ciobo,Q6865784,Minister for Defence Materiel,Q978276,Christopher Pyne,2018-08-27,Australia,3
Q4768766,Anne Ruston,Q107971470,Minister for International Development and the Pacific,Q5158602,Concetta Fierravanti-Wells,2018-08-21,Australia,4
Q28839644,Amadou Sanneh,Q109780357,"Minister of Trade, Industry, Regional Integration and Employment",Q27541581,Isatou Touray,2018-07-09,The Gambia,1
Q16195184,Kangi Lugola,Q16147126,Minister of Home Affairs,Q31752753,Mwigulu Nchemba,2018-07-01,Tanzania,1
Q2063093,Paul Wheelhouse,Q30882171,Minister for Transport and the Islands,Q174924,Humza Yousaf,2018-06-26,Scotland,6
Q19946250,Dulce de Jesus Soares,Q110146503,Minister of Education and Culture,Q41320729,Fernando Hanjam,2018-06-22,East Timor,1
Q2614472,Carmen Calvo Poyato,Q43184108,"Minister of Health, Social Services and Equality",Q11917597,Dolors Montserrat i Montserrat,2018-06-07,Spain,2
Q4890432,Carmen Montón,Q43184108,"Minister of Health, Social Services and Equality",Q11917597,Dolors Montserrat i Montserrat,2018-06-07,Spain,4
Q6035335,Máximo Huerta Hernández,Q26252488,"Minister of Education, Culture and Sport",Q291887,Íñigo Méndez de Vigo Montojo,2018-06-07,Spain,1
Q2614472,Carmen Calvo Poyato,Q55474966,Minister of the Presidency and Territorial Administration,Q41267,Soraya Sáenz de Santamaría,2018-06-07,Spain,2
Q6003983,María Jesús Montero Cuadrado,Q55956687,Minister of Finance and Public Function,Q780453,Cristóbal Montoro Romero,2018-06-07,Spain,1
Q9031777,Meritxell Batet,Q55474966,Minister of the Presidency and Territorial Administration,Q41267,Soraya Sáenz de Santamaría,2018-06-07,Spain,5
Q9009373,Isabel Celaá,Q26252488,"Minister of Education, Culture and Sport",Q291887,Íñigo Méndez de Vigo Montojo,2018-06-07,Spain,7
Q20171136,Antonio Ramírez de Arellano López,Q54856796,Q54856796,Q6003983,María Jesús Montero Cuadrado,2018-06-06,Andalusia,1
Q3820056,José Luis Ábalos Meco,Q16871885,Minister of Development of Spain,Q3592990,Íñigo de la Serna,2018-06-01,Spain,4
Q6967119,Nasir-ul-Mulk,Q735575,Prime Minister of Pakistan,Q7461686,Shahid Khaqan Abbasi,2018-05-31,Pakistan,4
Q96474292,Mory Sangaré,Q114643191,Minister of Pre-University Education and Literacy of Guinea,Q108125047,Ibrahim Kalil Konaté,2018-05-26,Guinea,1
Q795241,B. S. Yeddyurappa,Q53761260,Chief Minister of Karnataka,Q7508046,Siddaramaiah,2018-05-17,Karnataka,3
Q982805,Rajyavardhan Rathore,Q6866209,Minister of Information and Broadcasting,Q7546539,Smriti Irani,2018-05-14,India,2
Q6544494,Liew Vui Keong,Q24949267,Minister in the Prime Minister's Department,Q4832158,Azalina Othman Said,2018-05-10,Malaysia,1
Q53761570,Maszlee Malik,Q30601368,Minister of Education,Q6733710,Mahdzir Khalid,2018-05-09,Malaysia,1
Q54005229,Rina Harun,Q30601414,Minister of Rural and Regional Development,Q6084858,Ismail Sabri Yaakob,2018-05-09,Malaysia,2
Q6883654,Mitzy Larue,Q110363614,Minister of Family Affairs,Q56249687,Jeanne Siméon,2018-04-26,Seychelles,0
