item,itemLabel,position,positionLabel,predecessor,predecessorLabel,after,jurisdictionLabel,others
Q66809451,Oleksandr Kubrakov,Q53675481,Minister of Communities and Regional Development,Q85994782,Vasyl Lozynskyy,2022-12-01,Ukraine,4
Q109821337,Retselisitsoe Matlanyane,Q109819798,Minister of Development and Planning,Q30702245,Selibe Mochoboroane,2022-11-04,Lesotho,2
Q3764245,Gilberto Pichetto Fratin,Q108128155,Minister of the Ecological Transition,Q3938696,Roberto Cingolani,2022-10-22,Italy,2
Q5737622,Johan Forssell,Q10686108,Minister of Trade,Q67207189,Anna Hallberg,2022-10-18,Sweden,7
Q114258192,Jean Baptiste Ondaye,Q112320668,Minister of Economy,Q26237842,Ingrid Ebouka-Babackas,2022-09-26,Republic of the Congo,1
Q114258192,Jean Baptiste Ondaye,Q112320673,Minister of Finance,Q23900401,Rigobert Roger Andely,2022-09-26,Republic of the Congo,1
Q114258201,Lydie Pongault,Q112315782,Minister of Culture and Arts,Q59676765,Dieudonné Moyongo,2022-09-26,Republic of the Congo,1
Q114258201,Lydie Pongault,Q112320720,Minister of Tourism,Q48778190,Destinée Ermela Doukaga,2022-09-26,Republic of the Congo,1
Q114069567,Moussa Bocar Thiam,Q109928015,Minister of Digital Economy and Telecommunications,Q109928014,Yankhoba Diattara,2022-09-17,Senegal,1
Q16269678,Amadou Ba,Q109927232,Minister for Finance and the Budget,Q98730700,Abdoulaye Daouda Diallo,2022-09-17,Senegal,3
Q107452351,Samia Moualfi,Q109649554,Minister of Energy Transition and Renewable Energy,Q107447247,Ben Attou Ziane,2022-09-08,Algeria,3
Q96096929,Ihsan Abdul Jabbar Ismail,Q20423494,Deputy Prime Minister of Iraq,Q2646641,Ali Allawi,2022-08-16,Iraq,2
Q6426240,Koichi Tani,Q11394685,Minister of State for Disaster Management,Q7426414,Satoshi Ninoyu,2022-08-10,Japan,5
Q983402,Ranil Wickremesinghe,Q107970219,Minister of Technology,Q1538702,Gotabaya Rajapaksa,2022-07-14,Sri Lanka,8
Q3332699,Olivier Véran,Q65146859,Government Spokesperson,Q30349408,Olivia Grégoire,2022-07-04,France,5
Q30122220,Dong Sun,Q25339746,Secretary for Innovation and Technology,Q91852840,Alfred Sit,2022-07-01,Hong Kong,2
Q25469937,Hadi Tjahjanto,Q108300193,Head of the National Land Agency,Q12515797,Sofyan Djalil,2022-06-15,Indonesia,3
Q16405768,Maris Lauri,Q16403845,Minister of Economic Affairs and Infrastructure,Q16403144,Taavi Aas,2022-06-03,Estonia,4
Q1449483,Tony Burke,Q11796971,Minister for Small Business (Australia),Q7627022,Stuart Robert,2022-05-23,Australia,7
Q16218414,Pat Conroy,Q6865874,Minister for Human Services,Q16735152,Linda Reynolds,2022-05-23,Australia,3
Q99193104,Charlotte Caubel,Q107659591,"Minister Delegate for Gender Equality, Diversity and Equal Opportunities",Q64373817,Elisabeth Moreno,2022-05-20,France,4
Q64032959,Chrisoula Zacharopoulou,Q110310819,"Minister Delegate for Tourism, French Nationals Abroad and Francophonie",Q18202528,Jean-Baptiste Lemoyne,2022-05-16,France,2
