item,itemLabel,itemDescription,jurisdiction,jurisdictionLabel,began,ended,type
Q106076357,14th Cabinet of North Korea,,Q423,North Korea,2019-04-11,,cabinet
Q65049620,Naveen Patnaik fifth ministry,Ministers in Government of Odisha headed by Chief Minister Naveen Patnaik,Q22048,Odisha,2019-05-29,,cabinet
Q75110838,Second Cabinet of Mateusz Morawiecki,Polish government,Q36,Poland,2019-11-15,,cabinet
Q71014092,XXII Constitutional Government of Portugal,cabinet of the Portuguese government,Q45,Portugal,2019-10-26,2022-03-30,cabinet
Q66124336,Second López government,,Q5772,Region of Murcia,2019-08-01,,cabinet
Q73529134,First Orban Cabinet,,Q218,Romania,2019-11-04,2020-03-14,cabinet
Q77002599,Second Kretschmer cabinet,state government of Saxony,Q1202,Saxony,2019-12-20,,cabinet
Q65041806,Prem Singh Tamang ministry,Ministers in Government of Sikkim headed by Chief Minister Prem Singh Tamang,Q1505,Sikkim,2019-05-27,,cabinet
Q75763977,Jacobs cabinet,,Q26273,Sint Maarten,2019-11-19,2020-03-28,cabinet
Q64167569,Second Cabinet of Cyril Ramaphosa,Second cabinet of Cyril Ramaphosa,Q258,South Africa,2019-05-29,,cabinet
Q79927671,Gotabaya Rajapaksa cabinet,,Q854,Sri Lanka,2019-11-21,2020-08-12,cabinet
Q87367437,Palestinian government of 2019,cabinet,Q219060,State of Palestine,2019-04-13,,cabinet
Q60736270,Cabinet Löfven II,,Q34,Sweden,2019-01-21,2021-07-09,cabinet
Q97230427,Second Prayut cabinet,,Q869,Thailand,2019-07-10,,cabinet
Q85787810,Natano Ministry,,Q672,Tuvalu,2019-09-20,,cabinet
Q66819440,Honcharuk government,20th Cabinet of Ministers of Ukraine,Q212,Ukraine,2019-08-29,2020-03-04,cabinet
Q78356885,First Johnson ministry,Government of the United Kingdom,Q145,United Kingdom,2019-07-24,2019-12-16,cabinet
Q78347457,Second Johnson ministry,former government of the United Kingdom (2019–2022),Q145,United Kingdom,2019-12-16,2022-09-06,cabinet
