item,itemLabel,itemDescription,jurisdiction,jurisdictionLabel,began,ended,type
Q104868621,Kenney cabinet,"cabinet of Alberta, 2019–2022",Q1951,Alberta,2019-04-30,2022-10-11,cabinet
Q60853935,First Moreno Government,,Q5783,Andalusia,2019-01-18,2022-07-26,cabinet
Q65042261,Y. S. Jaganmohan Reddy Ministry,,Q1159,Andhra Pradesh,2019-05-30,,cabinet
Q66386626,Second Lambán government,Current government of Aragon,Q4040,Aragon,2019-08-07,,cabinet
Q60649248,Second Pashinyan government,government of Armenia,Q399,Armenia,2019-01-14,2021-08-02,cabinet
Q65046006,Second Pema Khandu ministry,,Q1162,Arunachal Pradesh,2019-05-29,,cabinet
Q65965461,Barbón Government,,Q3934,Asturias,2019-07-22,,cabinet
Q65072634,Second Morrison Ministry,Second Australian government ministry led by Scott Morrison,Q408,Australia,2019-05-29,2022-05-23,cabinet
Q64170336,Bierlein government,Government of Austria from 2019 to 2020,Q40,Austria,2019-06-03,2020-01-07,cabinet
Q65018329,Second Armengol Government,,Q107356467,Balearic Islands,2019-07-02,,government
Q97190793,Murad Ebrahim Cabinet,,Q806550,Bangsamoro,2019-02-26,,cabinet
Q72586989,Wilmès I Government,Belgian government (2019-2020),Q31,Belgium,2019-10-27,2020-03-17,cabinet
Q107394944,Cabinet of Jeanine Áñez,Bolivian presidential administration and ministerial cabinet from 2019 to 2020,Q750,Bolivia,2019-11-13,2020-11-06,cabinet
Q97256455,Cabinet of Zoran Tegeltija,,Q225,Bosnia and Herzegovina,2019-12-23,,cabinet
Q73664333,3rd Woidke Cabinet,state government of Brandenburg,Q1208,Brandenburg,2019-11-20,,cabinet
Q60852905,Ngute Cabinet,,Q1009,Cameroon,2019-01-04,,cabinet
Q65965447,Torres Government,incumbent regional government of the Canary Islands,Q5813,Canary Islands,2019-07-18,,cabinet
Q65187989,Fourth Revilla Government,,Q3946,Cantabria,2019-06-29,,cabinet
Q65748686,Alfonso Fernández Government,,Q5739,Castile and León,2019-07-01,,cabinet
Q65273220,Second García-Page Government,,Q5748,Castile-La Mancha,2019-07-08,,cabinet
Q66616003,Díaz Ayuso Government,,Q5756,Community of Madrid,2019-08-20,2021-06-21,cabinet
Q86666693,Ilunga government,Democratic Republic of the Congo government led by Sylvestre Ilunga,Q974,Democratic Republic of the Congo,2019-09-06,2021-04-26,cabinet
Q64831553,Frederiksen Cabinet,Incumbent Government of Denmark,Q35,Denmark,2019-06-27,,cabinet
Q104855056,Cabinet of Nayib Bukele,current presidential cabinet of El Salvador,Q792,El Salvador,2019-06-01,,cabinet
Q63343147,Jüri Ratas' second cabinet,government of Estonia from 2019 to 2021,Q191,Estonia,2019-04-29,2021-01-14,cabinet
Q64995866,Third Guillermo Fernández Government,,Q5777,Extremadura,2019-06-27,,cabinet
Q64340086,Antti Rinne's cabinet,75th cabinet of Finland,Q33,Finland,2019-06-06,2019-12-10,cabinet
Q77972346,Sanna Marin's cabinet,76th cabinet of Finland,Q33,Finland,2019-12-10,,cabinet
Q65038221,Bovenschulte Senate,state government of Bremen,Q1209,Free Hanseatic City of Bremen,2019-08-15,,cabinet
Q107618999,First Gakharia government,,Q230,Georgia,2019-09-08,2020-12-11,cabinet
Q65085362,Pramod Sawant cabinet,,Q1171,Goa,2019-03-19,,cabinet
Q65184515,Cabinet of Kyriakos Mitsotakis,Greek government of 2019,Q41,Greece,2019-07-09,,cabinet
Q111940344,Second Shadow Cabinet of Alexis Tsipras,,Q41,Greece,2019-07-18,,
Q85800177,Second Manohar Lal Khattar ministry,Ministers in Government of Haryana headed by Chief Minister Manohar Lal Khattar,Q1174,Haryana,2019-10-27,,cabinet
Q59917948,Cabinet Bouffier III,"state government of Hesse, Germany since 2019",Q1199,Hesse,2019-01-18,,cabinet
Q64210877,Second Modi ministry,Union Council of Ministers headed by Narendra Modi,Q668,India,2019-05-30,,cabinet
Q71682639,Onward Indonesia Cabinet,Current government of Indonesia,Q252,Indonesia,2019-10-23,,cabinet
Q67123745,Conte II Cabinet,66th government of the Italian Republic,Q38,Italy,2019-09-05,2021-02-13,cabinet
Q85800175,Second Hemant Soren ministry,,Q1184,Jharkhand,2019-12-29,,cabinet
Q85761823,Fourth B. S. Yeddyurappa ministry,,Q1185,Karnataka,2019-07-26,2021-07-26,cabinet
Q63144712,Mamin Cabinet,cabinet of Kazakhstan between February 2019 and January 2022,Q232,Kazakhstan,2019-02-25,2022-01-05,cabinet
Q67039511,Andreu government,,Q5727,La Rioja,2019-08-30,,cabinet
Q64900776,Second Puig Government,,Q5720,Land of Valencia,2019-06-17,,cabinet
Q60890402,Kariņš cabinet,Kariņš cabinet is the government of Latvia,Q211,Latvia,2019-01-23,,cabinet
Q61442774,Third Cabinet of Saad Hariri,government of Lebanon headed by PM Saad Hariri,Q822,Lebanon,2019-01-31,2020-01-21,cabinet
Q85800163,Second Devendra Fadnavis ministry,,Q1191,Maharashtra,2019-11-23,2019-11-26,cabinet
Q85811740,Uddhav Thackeray ministry,,Q1191,Maharashtra,2019-11-28,2022-06-29,cabinet
Q64496215,Sandu Cabinet,government of Moldova,Q217,Moldova,2019-06-08,2019-11-14,cabinet
Q75161190,Chicu Cabinet,,Q217,Moldova,2019-11-14,2021-08-06,cabinet
Q66386582,Chivite government,,Q4018,Navarre,2019-08-07,,cabinet
