position,positionLabel,ofLabel,jurisdictionLabel,people,example
Q27169,member of the European Parliament,,European Union,249,Q47506840
Q1939555,member of the German Bundestag,,Germany,163,Q65497730
Q18558478,member of the Chamber of Deputies of the Italian Republic,,Italy,129,Q65499832
Q3044918,member of the French National Assembly,,France,117,Q30527240
Q13653224,member of the Italian Senate,,Italy,117,Q111546161
Q21030356,Member of the Grand National Assembly of Turkey,,Turkey,101,Q65499852
Q19953703,member of the Assembly of the Republic,,Portugal,86,Q112225619
Q36634044,Member of the 52nd Parliament of the United Kingdom,,United Kingdom,83,Q16121348
Q35921591,Member of the 53rd Parliament of the United Kingdom,,United Kingdom,81,Q15525123
Q19269361,member of the Sejm of the Republic of Poland,,Poland,81,Q21282145
Q35647955,Member of the 54th Parliament of the United Kingdom,,United Kingdom,80,Q10985643
Q12311817,member of the Folketing,,Kingdom of Denmark,72,Q65499823
Q18171345,Member of the Congress of Deputies,,Spain,71,Q44629038
Q17590876,member of the National Assembly of Hungary,,Hungary,70,Q55753801
Q10655178,member of the Swedish Riksdag,,Sweden,68,Q65499866
Q17276321,member of the State Duma,,Russia,67,Q55103256
Q18887908,member of the House of Representatives of the Netherlands,,Kingdom of the Netherlands,65,Q28861054
Q35494253,Member of the 55th Parliament of the United Kingdom,,United Kingdom,63,Q750381
Q30524718,Member of the 56th Parliament of the United Kingdom,,United Kingdom,62,Q20648564
Q30524710,Member of the 57th Parliament of the United Kingdom,,United Kingdom,62,Q30174601
Q17556530,member of the Chamber of Deputies of Romania,,Romania,61,Q30349022
Q41582627,Member of the 51st Parliament of the United Kingdom,,United Kingdom,60,Q15525123
Q18915989,member of the Hellenic Parliament,,Greece,58,Q65499180
Q9045502,member of the Parliament of Norway,,Norway,56,Q39513794
Q19803234,Member of the Chamber of Deputies of the Parliament of the Czech Republic,,Czech Republic,55,Q44849760
Q12132454,People's Deputy of Ukraine,,Ukraine,53,Q23058138
Q15705021,member of the Chamber of Representatives of Belgium,,Belgium,52,Q17428788
Q15964890,member of the House of Commons of Canada,,Canada,52,Q22704263
Q17592486,member of the Parliament of Finland,,Finland,49,Q20257511
Q17535155,member of the National Council of Austria,,Austria,48,Q42310694
Q19971999,member of the Senate of Mexico,,Mexico,47,Q65499874
Q41582624,Member of the 50th Parliament of the United Kingdom,,United Kingdom,46,Q15525123
Q18534310,Member of the Chamber of Deputies of Mexico,,Mexico,45,Q65499632
Q18952564,Member of the House of Lords,,United Kingdom,45,Q18746979
Q17619252,Senator of Belgium,,Belgium,45,Q17428788
Q14828018,Senator of the French Fifth Republic,,France,45,Q18215030
Q77685926,Member of the 58th Parliament of the United Kingdom,,United Kingdom,44,Q20648564
Q18390049,member of the Parliament of Moldova,,Moldova,42,Q21746924
Q18643511,representative in the Croatian Parliament,,Croatia,42,Q61944350
Q4047513,Knesset member,,Israel,41,Q20898016
Q654291,Teachta Dála,,Republic of Ireland,40,Q23006310
Q4516946,member of the Federation Council of Russia,,Russia,37,Q65499051
Q21100241,member of the Riigikogu,,Estonia,35,Q65498004
Q19323171,member of the Senate of Spain,,Spain,35,Q65497794
Q18507240,Member of the Seimas,,Lithuania,34,Q27849997
Q18510612,Member of the Swiss National Council,,Switzerland,34,Q23008621
Q19305384,member of the Senate of the Netherlands,,Kingdom of the Netherlands,33,Q29001708
Q16159375,deputy member of the Parliament of Norway,,Norway,31,Q39513794
Q41582621,Member of the 49th Parliament of the United Kingdom,,United Kingdom,30,Q12899736
Q18043391,senator of Ireland,,Republic of Ireland,30,Q24266621
Q15105064,member of the Flemish Parliament,,Flemish Community,28,Q17428788
Q20177772,Member of the Parliament of Albania,,Albania,27,Q32028208
Q21295999,member of the National Assembly of Serbia,,Serbia,27,Q56065120
Q18524027,member of the Senate of Canada,,Canada,27,Q54861079
Q18694248,municipality councillor in Finland,,municipality of Finland,26,Q20257511
Q28841847,Member of the Privy Council of the United Kingdom,,United Kingdom,25,Q19957769
