position,positionLabel,ofLabel,jurisdictionLabel,people,example
Q19360771,member of the Austrian federal council,,Austria,25,Q20752406
Q17277248,member of the National Assembly of Armenia,,Armenia,25,Q59103045
Q19938957,member of the Senate of Romania,,Romania,24,Q30349022
Q18941264,Member of the Senate of the Parliament of the Czech Republic,,Czech Republic,23,Q18006203
Q21328592,Deputy of the Chamber of Deputies of Luxembourg,,Luxembourg,22,Q16440329
Q21290878,Member of the Parliament of Georgia,,Georgia,22,Q65284961
Q21191589,deputy of Saeima,,Latvia,21,Q58371504
Q16886136,regional council member,,,21,Q3385262
Q19967563,Member of the National Council of the Slovak Republic,,Slovakia,20,Q17330556
Q121998,ambassador,,,20,Q18507860
Q41582619,Member of the 48th Parliament of the United Kingdom,,United Kingdom,19,Q15525123
Q20968670,member of the Grand and General Council of San Marino,,San Marino,19,Q28968160
Q258045,Captain Regent of San Marino,,San Marino,16,Q65499704
Q21328583,Member of the House of Representatives of Morocco,,Morocco,16,Q65499871
Q21328626,Member of the National Council of Monaco,,Monaco,16,Q41480094
Q20015949,member of the Assembly of the Republic of North Macedonia,,North Macedonia,16,Q47537494
Q21269547,Member of the National Assembly of Azerbaijan,,Azerbaijan,15,Q28527865
Q21296001,Member of the National Assembly of Slovenia,,Slovenia,15,Q65499856
Q19801674,member of the House of Representatives of Cyprus,,Cyprus,15,Q65499132
Q59779804,member of the Committee on Foreign Affairs,,Sweden,14,Q6240455
Q21328607,member of the Landtag of Liechtenstein,,Liechtenstein,14,Q29380602
Q97670363,Member of the Committee on Social Insurance,,Sweden,13,Q18239164
Q97670339,Member of the Committee on the Constitution,,Sweden,13,Q6088379
Q18510613,Member of the Swiss Council of States,,Switzerland,13,Q2073971
Q3780304,member of the general council,,department of France,13,Q3035273
Q33083755,Member of the 2007-2009 Parliament of Iceland,,Iceland,12,Q16422960
Q41582617,Member of the 47th Parliament of the United Kingdom,,United Kingdom,12,Q15525123
Q97670388,Member of the Committee on European Union Affairs,,Sweden,12,Q5972016
Q18924508,member of the Bulgarian National Assembly,,Bulgaria,11,Q20500637
Q41582612,Member of the 45th Parliament of the United Kingdom,,United Kingdom,10,Q12899736
Q21272959,Member of the Althing,,Iceland,10,Q15622449
Q20177831,Member of the General Council of Andorra,,Andorra,10,Q65499144
Q19731005,Parliamentary Secretary in Germany,,Germany,10,Q2503159
Q30185,mayor,,municipality,10,Q15813144
Q58904879,member of the Committee on Finance,,Sweden,10,Q16633140
Q33083156,Member of the 2009-2013 Parliament of Iceland,,Iceland,9,Q5618945
Q33083139,Member of the 2013-2016 Parliament of Iceland,,Iceland,9,Q22236740
Q97670360,Member of the Committee on Taxation,,Sweden,9,Q37013194
Q37857097,member of the 13th House of Representatives of Malta,,Malta,9,Q37861353
Q97670324,Member of the Committee on Civil Affairs,,Sweden,8,Q37013194
Q97670345,Member of the Committee on Cultural Affairs,,Sweden,8,Q18245444
Q382617,mayor of a place in France,,commune of France,8,Q3174934
Q382617,mayor of a place in France,,France,8,Q3174934
Q83307,minister,,<noval>,8,Q12879947
Q3259412,Lord Commissioner of the Treasury,,United Kingdom,7,Q20647819
Q33082474,Member of the 2016-2017 Parliament of Iceland,,Iceland,7,Q22236740
Q52474426,Member of the 2017–2021 Parliament of Iceland,,Iceland,7,Q55768548
Q41582615,Member of the 46th Parliament of the United Kingdom,,United Kingdom,7,Q12899736
Q97670331,Member of the Committee on Defence,,Sweden,7,Q18243097
Q97670334,Member of the Committee on Justice,,Sweden,7,Q6039678
Q19367406,Member of the House of Representatives of Malta,,Malta,7,Q29581315
Q18714088,Member of the Parliament of Catalonia,,Catalonia,7,Q19300714
Q28778415,member of the Basque Parliament,,Basque Autonomous Community,7,Q28872545
Q18915989,member of the Hellenic Parliament,New Democracy,Greece,7,Q16187335
Q16799332,Deputy Prime Minister of Serbia,,Serbia,6,Q12749330
Q41582609,Member of the 44th Parliament of the United Kingdom,,United Kingdom,6,Q12899736
Q97670380,Member of the Committee on Education,,Sweden,6,Q6198899
Q97670319,Member of the Committee on the Labour Market,,Sweden,6,Q65499866
Q21290855,Member of the House of Representatives of Bosnia and Herzegovina,,Bosnia and Herzegovina,6,Q23409790
Q1311756,Minister for the Environment,,Denmark,6,Q12321950
Q1646567,President of the Federal Council of Austria,,,6,Q2077087
Q4376680,President of the Moldovan Parliament,,,6,Q934937
Q20522401,President of the National Assembly of Slovenia,,,6,Q18565765
Q23711521,member of the regional parliament of Vienna,,Vienna,6,Q2590118
Q8077915,Échevin,,Luxembourg,6,Q16440237
Q14805701,Deputy Chairman of the Government of the Russian Federation,,Russia,5,Q4246195
Q97670350,Member of the Committee on Environment and Agriculture,,Sweden,5,Q18202340
Q97670367,Member of the Committee on Health and Welfare,,Sweden,5,Q6256695
Q97670355,Member of the Committee on Industry and Trade,,Sweden,5,Q18202340
Q20177806,Member of the Parliament of Andalusia,,Andalusia,5,Q19826434
Q19351455,Member of the Parliament of Wallonia,,Wallonia,5,Q3288115
Q81747225,Member of the Senate of the Republic of Poland,,Poland,5,Q11818205
Q22979107,Minister of Foreign and European Affairs,,Croatia,5,Q30111243
Q2337229,President of the Swiss National Council,,Switzerland,5,Q23008621
Q16323054,Shadow Secretary of State for Wales,,United Kingdom,5,Q20648332
Q62457650,conseiller régional du Grand Est,,Grand Est,5,Q30339476
Q43185266,deputy of the Constituent Assembly,,Portugal,5,Q10347591
Q22998436,member of the Assembly of Madrid,,Community of Madrid,5,Q44629038
Q13102207,municipal councillor,,Luxembourg,5,Q13105458
Q113318727,député de la diète de la république populaire de Pologne,,Polish People's Republic,5,Q11797866
Q104559039,Central Bohemian Region Assembly member,,Central Bohemian Region,4,Q17375881
Q108856016,Member of the 2021– Parliament of Iceland,,Iceland,4,Q55768548
Q18327335,Member of the Abgeordnetenhaus of Berlin,,Berlin,4,Q2589179
Q97670375,Member of the Committee on Transport and Communications,,Sweden,4,Q4990984
Q3305338,Member of the National Assembly of Quebec,,Quebec,4,Q5556749
Q21328626,Member of the National Council of Monaco,National Council,Monaco,4,Q41496775
Q6865928,Minister for Nordic Cooperation,,Iceland,4,Q1715069
Q112768892,Minister of Development Cooperation,,Belgium,4,Q3056542
Q61867156,Minister of Foreign Affairs,,North Macedonia,4,Q690405
Q20007045,Minister of Foreign Affairs,,Netherlands,4,Q773635
Q3304204,Minister of Foreign Affairs,,Albania,4,Q13043722
Q43186489,Minister of Justice,,Portugal,4,Q16337119
Q19860560,Minister of Justice of Greece,,Greece,4,Q15618317
Q107465300,Minister of Pensions,,Belgium,4,Q2949528
Q312271,President of Moldova,,Moldova,4,Q4164146
Q26878539,President of the Belgian Senate,,Belgium,4,Q2965912
Q251747,President of the Senate of the Netherlands,,Netherlands,4,Q13653571
Q15304810,Prime Minister of Romania,,Romania,4,Q30349022
Q62545834,Regional council member of Alsace,,Alsace,4,Q3158284
Q3954377,Secretary for Finance and Budget,,San Marino,4,Q18221867
Q86120723,Secretary of State for Foreign Affairs,,Kingdom of the Netherlands,4,Q773635
Q7460544,Shadow Leader of the House of Commons,,United Kingdom,4,Q478711
Q14957218,Shadow Secretary of State for Scotland,,United Kingdom,4,Q12899736
Q7574264,Speaker of the Hellenic Parliament,,Greece,4,Q20995518
Q2208217,co-opted senator,,,4,Q65284044
Q17320547,member of the Federal Assembly of Czechoslovakia,,Czechoslovakia,4,Q3504591
Q23905996,"member of the French Economic, Social and Environmental Council",,,4,Q3265654
Q17519166,member of the Landtag of Hesse,,Hesse,4,Q1491387
Q20205040,municipal councillor of Amsterdam,,Amsterdam,4,Q3259044
Q1687249,president of the Swiss Council of States,,Switzerland,4,Q353273
Q813389,Délégué du gouvernement fédéral pour la Politique des droits humains et l'Aide humanitaire,,,4,Q1876595
Q62561369,conseiller régional de Lorraine,,Lorraine,4,Q3173270
Q848335,Chairman of the Presidency of Bosnia and Herzegovina,,,3,Q944643
Q679817,Chairman of the Verkhovna Rada,,,3,Q2066222
Q85027613,Cleveringa chair,,,3,Q773635
Q23640242,Deputy Minister for Foreign Affairs,,Greece,3,Q12881047
Q21485921,Deputy Minister of the Interior,,Greece,3,Q19514797
Q3394691,Deputy Prime Minister of Greece,,Greece,3,Q5558236
Q106979001,Dutch State Secretary for Justice and Security,,Netherlands,3,Q2784118
Q11895063,Finnish Minister of Transport and Communications,,Finland,3,Q3360062
Q27999166,Italian Minister for Parliamentary Relations,,Italy,3,Q15143059
Q28000241,Italian Minister of Labour and Social Affairs,,Italy,3,Q15279838
Q1541071,Italian Minister of the Interior,,Italy,3,Q3557346
Q6508524,Leader of the Labour Party,,,3,Q982225
Q37303721,Member of the 2nd Northern Ireland Assembly,,Northern Ireland,3,Q333991
Q41582608,Member of the 43rd Parliament of the United Kingdom,,United Kingdom,3,Q12899736
Q21328613,Member of the House of Peoples of Bosnia and Herzegovina,,Bosnia and Herzegovina,3,Q12636401
Q18130496,Member of the Landtag of Schleswig-Holstein,,Schleswig-Holstein,3,Q1876595
Q21328576,Member of the Parliament of Montenegro,,Montenegro,3,Q56733060
Q16147098,Minister for Foreign Affairs of Greece,,Greece,3,Q462542
Q5690600,Minister for Health of Denmark,,Denmark,3,Q12336452
Q55024178,Minister for Institutional Reforms,,Italy,3,Q15143059
Q55374747,Minister for the Environment,,Iceland,3,Q1715069
Q16402952,Minister of Culture,,Estonia,3,Q16403371
Q19904334,Minister of Culture of Greece,,Greece,3,Q20995518
Q20523593,Minister of Defence,,Slovenia,3,Q23418897
Q6590375,Minister of Defence,,Latvia,3,Q2869357
Q26197292,Minister of Economic Affairs and Climate Policy,,Netherlands,3,Q2464817
Q108370218,Minister of Economy and Sustainable Development,,Georgia,3,Q6098071
Q21504183,"Minister of Economy, Entrepreneurship and Tourism",,Romania,3,Q30349022
Q10686032,Minister of Employment,,Sweden,3,Q6039678
Q20988485,Minister of European Union Affairs,,Turkey,3,Q7940222
Q2501411,Minister of Foreign Affairs,,Slovakia,3,Q1289100
Q6866144,Minister of Foreign Affairs,,Denmark,3,Q3138668
Q1670832,Minister of Foreign Affairs in Belgium,,Belgium,3,Q3056542
Q21503673,Minister of Foreign Affairs of Romania,,Romania,3,Q374179
Q20988486,"Minister of Foreign Affairs, Turkey",,Turkey,3,Q381297
Q15722942,Minister of Health,,Israel,3,Q2141400
Q2199719,Minister of Public Administration and Local Self-Government,,Serbia,3,Q27907563
Q18694348,Minister of Social Affairs and Health,,Finland,3,Q7198035
Q6866364,"Minister of State at the Department of Enterprise, Trade and Employment",,Republic of Ireland,3,Q6237376
Q19904387,Minister of Transports and Communications of Greece,,Greece,3,Q1063232
Q15733044,Minister without portfolio,,Israel,3,Q2141400
Q2199785,Minister without portfolio of the Republic of Serbia,,Serbia,3,Q17388477
Q2746377,Minister-President of Flanders,,Flanders,3,Q1865725
Q55973189,Moravian-Silesian Region Assembly member,,Moravian-Silesian Region,3,Q19602762
Q25358150,Parliamentary Under-Secretary of State for Transport,,United Kingdom,3,Q1237673
Q101439154,President of the Institut de Droit International,,,3,Q2228497
Q99345980,President of the National Council of Monaco,,,3,Q41479234
Q60824201,President of the Senate (Mexico),,,3,Q6013951
Q1975365,Prime Minister of Georgia,,Georgia,3,Q1010588
Q1769526,Prime Minister of Moldova,,Moldova,3,Q2143400
Q45369,Prime Minister of Slovakia,,Slovakia,3,Q17330556
Q22328310,Second President of the National Council of Austria,,Austria,3,Q87873
Q7460599,Shadow Secretary of State for Northern Ireland,,United Kingdom,3,Q6396978
Q1850524,Speaker of the Parliament of Albania,,Albania,3,Q1722312
Q16147743,State Secretary,Ministry of Foreign Affairs of Norway,Norway,3,Q1798291
Q16147743,State Secretary,Norway's Ministry of Local Government and Modernisation,Norway,3,Q15109944
Q66062821,chairman of the joint commission for the European Union,,,3,Q19828092
Q62456083,conseiller régional de Rhône-Alpes,,Rhône-Alpes,3,Q3027038
Q1127270,deputy chairperson,Q15639867,,3,Q12045017
Q1127270,deputy chairperson,Chamber of Deputies Caucus of the Civic Democratic Party,,3,Q12042458
Q877955,deputy prime minister,,<noval>,3,Q3443168
Q2184394,directly elected senator,,,3,Q2749463
Q108899569,member of a Czech municipal council,Zlín,municipality of the Czech Republic,3,Q12059358
Q19360771,member of the Austrian federal council,Vorarlberg,Austria,3,Q1373001
Q19360355,member of the Hamburg Parliament,,Hamburg,3,Q1309204
Q3305347,member of the Ontario Provincial Parliament,,Ontario,3,Q5569139
Q43198218,member of the Parliament of Galicia,,Galicia,3,Q6075845
Q18557729,member of the Volkskammer,,German Democratic Republic,3,Q1649652
Q63758892,member of the departmental council of Moselle,,Moselle,3,Q30386520
Q59239951,member of the regional council of Île-de-France,,Île-de-France,3,Q3340014
Q21013152,municipal councillor of The Hague,,The Hague,3,Q2644986
Q66501330,conseiller de l'Eurométropole de Strasbourg,,Eurometropolis of Strasbourg,3,Q3379355
Q29886380,coordinateur pour la Coopération transatlantique,,,3,Q1563765
Q106826484,Q106826484,,,2,Q1889236
Q42303614,Barcelona provincial deputy,,Barcelona Province,2,Q11705387
Q5036884,Captain of the Yeomen of the Guard,,,2,Q506257
Q109743326,Chair of the Committee of Ministers of the Council of Europe,,,2,Q30111243
Q97670206,Chair of the Committee on Civil Affairs,,Sweden,2,Q3373040
Q97670198,Chair of the Committee on Environment and Agriculture,,Sweden,2,Q3363827
Q97670199,Chair of the Committee on Industry and Trade,,Sweden,2,Q3373324
Q97670196,Chair of the Committee on Justice,,Sweden,2,Q6039678
Q25906219,Chair of the Parliamentary Labour Party,,,2,Q695295
Q16020744,Chairman of the Council of Ministers of Bosnia and Herzegovina,,Bosnia and Herzegovina,2,Q12636401
Q4376663,Chairman of the State Duma,,Russia,2,Q983654
Q3652076,Chairperson of the Parliament of Georgia,,Georgia,2,Q673705
Q1307072,Chief Whip,,,2,Q1175443
Q56511914,County Governor of Rogaland,,Rogaland,2,Q462543
Q11781520,Danish Minister for Labour,,Denmark,2,Q3121413
Q5261043,Deputy Leader of the Labour Party,,United Kingdom,2,Q332393
Q15728439,Deputy Minister of Defense,,Israel,2,Q1380540
Q23836176,Deputy Minister of the Economy,,Greece,2,Q15618317
Q87885285,Deputy Prime Minister of Belgium,,Belgium,2,Q17428148
Q16973527,Deputy Prime Minister of Croatia,,Croatia,2,Q30111243
Q5261074,Deputy Prime Minister of Turkey,,Turkey,2,Q65498832
Q61882567,Deputy Prime Minister of the Czech Republic,,Czech Republic,2,Q1397396
Q2430481,Deputy Prime Minister of the Netherlands,,Netherlands,2,Q554116
Q12312037,Education and Research Minister,,Denmark,2,Q12310565
Q2986316,European Commissioner for Climate Action,,European Union,2,Q1317281
Q1476458,European Commissioner for the Environment,,European Union,2,Q333554
Q30533247,Federal Minister of Justice,,Germany,2,Q65394
Q1965788,First Deputy Chairman of the Government of the Russian Federation,,Russia,2,Q983654
Q112573186,Flemish minister of Agriculture,,Flanders,2,Q2095531
Q18018541,Foreign Minister of Norway,,Norway,2,Q998489
Q27134289,General Secretary of the Socialist Party (Portugal),,Portugal,2,Q925136
Q20988365,Governor of Ankara,,,2,Q6039170
Q4151349,Governor of Odessa Oblast,,Odesa Oblast,2,Q4284684
Q19858317,Greek Minister of the Interior,,Greece,2,Q12875258
Q109313935,Head of Kyiv City State Administration,,Kyiv,2,Q4275699
Q2484309,Home Secretary,,United Kingdom,2,Q19957769
Q27991492,Italian Minister of Foreign Affairs,,Italy,2,Q3741557
Q25973167,Italian Minister of Justice,,Italy,2,Q3615909
Q64682634,Judge of the European Court of Human Rights,,Council of Europe,2,Q7386935
Q20517763,Justice Minister,,Armenia,2,Q21212025
Q6317024,Justice Minister of Denmark,,Denmark,2,Q3078007
Q4488944,Kremlin Chief of Staff,,,2,Q983654
Q37845660,Member of the 1982–1986 Northern Ireland Assembly,,Northern Ireland,2,Q333991
Q37303731,Member of the 1st Northern Ireland Assembly,,Northern Ireland,2,Q333991
Q37303713,Member of the 3rd Northern Ireland Assembly,,Northern Ireland,2,Q300292
Q30580544,Member of the 3rd Scottish Parliament,,Scotland,2,Q1507362
Q17441472,Member of the Bürgerschaft of Bremen,,Free Hanseatic City of Bremen,2,Q1329839
Q2614102,Member of the Council of State (Netherlands),,,2,Q13653571
Q17586301,Member of the Landtag of Bavaria,,Bavaria,2,Q15787696
Q17521638,Member of the Landtag of Lower Saxony,,Lower Saxony,2,Q1744775
Q17599130,Member of the National Assembly of Tanzania,,Tanzania,2,Q461710
Q58337991,Member of the Parliament of the Canary Islands,,Canary Islands,2,Q1367126
Q81531912,Member of the Second Chamber,,Sweden,2,Q5573006
Q6865756,Minister for Children and Youth Affairs,,Republic of Ireland,2,Q6376580
Q12310252,Minister for Commerce of Denmark,,Denmark,2,Q12327462
Q6865770,"Minister for Communications, Climate Action and Environment",,Republic of Ireland,2,Q1443220
Q920108,Minister for Defence,,Sweden,2,Q879773
Q2339443,Minister for Development Cooperation,,Netherlands,2,Q554116
Q24300568,"Minister for Food, Agriculture and Fisheries",,Denmark,2,Q12327462
Q55374777,Minister for Foreign Affairs and International Development Cooperation,,Iceland,2,Q5618945
Q1749063,Minister for Foreign Affairs of Sweden,,Sweden,2,Q3112958
Q6866004,"Minister for Housing, Planning and Local Government",,Republic of Ireland,2,Q466028
Q18183298,Minister for Migration,,Sweden,2,Q5887217
Q6865935,Minister for National Defence of Greece,,Greece,2,Q312994
Q25515749,Minister for Regional Development,,Czech Republic,2,Q12044944
Q108574843,"Minister for Small Business, Consumers and Corporate Responsibility",,United Kingdom,2,Q20647800
Q24205201,Minister of Agriculture and Forestry,,Finland,2,Q11728909
Q20202980,Minister of Agriculture of France,,France,2,Q3172322
Q107740256,Minister of Capital Investments,,Montenegro,2,Q65499722
Q19858626,Minister of Commercial Marine of Greece,,Greece,2,Q19598336
Q19858626,Minister of Commercial Marine of Greece,Second Cabinet of Kostas Karamanlis,Greece,2,Q1091143
Q23725756,Minister of Culture,,Finland,2,Q11868692
Q19904334,Minister of Culture of Greece,Cabinet of Konstantinos Mitsotakis,Greece,2,Q3577025
Q47449525,Minister of Defence,,Croatia,2,Q3441723
Q3741249,Minister of Defence,,Estonia,2,Q17446918
Q20740176,Minister of Defence,,Netherlands,2,Q2784118
Q24199589,Minister of Defence of Belgium,,Belgium,2,Q593302
Q19967450,Minister of Defence of Georgia,,Georgia,2,Q16370108
Q16157395,Minister of Defense,,Bulgaria,2,Q12271885
Q55374037,Minister of Economy and Commerce of Iceland,,Iceland,2,Q511882
Q19752714,Minister of Economy of Greece,,Greece,2,Q15618317
Q16422303,Minister of Education,,Iceland,2,Q7862293
Q6866110,Minister of Education and Research,,Estonia,2,Q788525
Q15732343,Minister of Energy,,Israel,2,Q2910007
Q106533226,Minister of Energy and Natural Resources,,,2,Q6035094
Q6590389,Minister of Finance,,Latvia,2,Q4392612
Q17278723,Minister of Fisheries and Agriculture,,Iceland,2,Q5618945
Q2501396,Minister of Foreign Affairs,,Czech Republic,2,Q1397396
Q107740254,Minister of Foreign Affairs,,Montenegro,2,Q2631716
Q2198943,Minister of Foreign Affairs,,Serbia,2,Q722579
Q57125919,Minister of Foreign Affairs,,Latvia,2,Q713138
Q17098318,Minister of Information,,Serbia,2,Q222031
Q30344682,Minister of Justice,,Croatia,2,Q16115028
Q1294631,Minister of Justice of Finland,,Finland,2,Q3228984
Q21159939,Minister of Justice of Romania,,Romania,2,Q12720574
Q55957045,Minister of Justice of Ukraine,,Ukraine,2,Q2066222
Q6866254,Minister of Mobility,,Belgium,2,Q593302
Q25470413,Minister of National Defence,,Lithuania,2,Q1376538
Q30960711,Minister of National Defence,,Poland,2,Q890426
Q56872893,Minister of Parliamentary Affairs,,Portugal,2,Q65498266
Q24061775,Minister of Population and Ethnic Affairs,,Estonia,2,Q788525
Q19904275,Minister of Public Order,,Greece,2,Q12875258
Q57337462,Minister of Social Affairs,,Norway,2,Q1770438
Q10563295,Minister of Social Affairs of Denmark,,Denmark,2,Q463680
Q6865827,Minister of State for Europe,,United Kingdom,2,Q5300550
Q4146869,Minister of State for Foreign Affairs,,United Kingdom,2,Q695295
Q6866360,Minister of State for Immigration,,United Kingdom,2,Q391644
Q96393330,Minister of State for Prisons and Probation,,United Kingdom,2,Q19956858
Q15109454,Minister of State for Transport,,United Kingdom,2,Q391644
Q6866379,Minister of State for the Armed Forces,,United Kingdom,2,Q5300550
Q31749478,Minister of Transport,,Iceland,2,Q511882
Q21513080,Minister of Transport and Infrastructure,,Romania,2,Q28050341
Q106533834,Minister of Youth and Sports,,,2,Q39463440
Q24576259,Minister of the Economy of Moldova,,Moldova,2,Q4164146
Q108219572,Minister of the Environment,,Moldova,2,Q18544109
Q15729702,Minister of the Interior and Kingdom Relations of the Netherlands,,Netherlands,2,Q1889236
Q104244422,Olomouc Region Assembly member,,Olomouc Region,2,Q12044075
Q19731005,Parliamentary Secretary in Germany,Federal Ministry for Digital and Transport,Germany,2,Q1729536
Q104878753,"Parliamentary Under-Secretary of State for Africa, Latin America and the Caribbean",,United Kingdom,2,Q441532
Q62681208,Parliamentary Under-Secretary of State for Wales,,United Kingdom,2,Q296797
Q7888495,Permanent Representative to the United Nations,,,2,Q460904
Q1625960,President of Albania,,Albania,2,Q57625
Q579677,President of Ukraine,,Ukraine,2,Q1459658
Q25448371,President of the Assembly of the Republic,,,2,Q925136
Q7241307,President of the Chamber of Deputies of Romania,,Romania,2,Q21179176
Q735587,President of the European Council,,European Union,2,Q12981
Q30340137,President of the National Assembly of Armenia,,Armenia,2,Q4461264
Q7241347,President of the National Assembly of Serbia,,Serbia,2,Q1280390
Q7241354,President of the Parliament of Montenegro,,,2,Q12752123
Q946064,Prime Minister of Azerbaijan,,Azerbaijan,2,Q12850075
Q213107,Prime Minister of Belgium,,Belgium,2,Q349477
Q738695,Prime Minister of Finland,,Finland,2,Q273324
Q835586,Prime Minister of Serbia,,Serbia,2,Q222031
Q1145714,Prime Minister of Ukraine,,Ukraine,2,Q1459658
Q62274475,Regional council member of Nord-Pas-de-Calais,,Nord-Pas-de-Calais,2,Q3159355
Q2942251,Secretary General of the Council of Europe,,,2,Q30111243
Q1846384,Secretary of State for Wales,,United Kingdom,2,Q333852
Q7444357,Secretary of State for Work and Pensions,,United Kingdom,2,Q479171
Q25906187,Shadow Chancellor of the Duchy of Lancaster,,United Kingdom,2,Q478711
Q16324556,Shadow Chief Secretary to the Treasury,,United Kingdom,2,Q695007
Q25360154,Shadow Minister for the Cabinet Office,,United Kingdom,2,Q269697
Q7460591,"Shadow Secretary of State for Culture, Media and Sport",,United Kingdom,2,Q285249
Q7460597,Shadow Secretary of State for International Development,,United Kingdom,2,Q20022488
Q7460553,Shadow Secretary of State for Women and Equalities,,United Kingdom,2,Q5242429
Q16321336,Shadow Secretary of State for Work and Pensions,,United Kingdom,2,Q332393
Q583809,Solicitor General for England and Wales,,England and Wales,2,Q19956858
Q55670007,South Bohemian Region Assembly member,,South Bohemian Region,2,Q12059227
Q16424173,Speaker of the Althing,,,2,Q865180
Q2588268,Speaker of the House of Representatives,,Netherlands,2,Q510705
Q1850749,Speaker of the Parliament of Sweden,,Sweden,2,Q1375199
Q784084,Special Representative of the Secretary-General for Kosovo,,,2,Q1388868
Q1146214,Tánaiste,,Republic of Ireland,2,Q982225
Q3965289,Undersecretary to the Presidency of the Council,,Italy,2,Q3557346
Q426461,Vice-Chamberlain of the Household,,,2,Q5606816
Q692110,Vice-Chancellor of Austria,,Austria,2,Q78904
Q9613465,Zlín Region Assembly member,,Zlín Region,2,Q14806480
Q24558593,administrator of the United Nations Development Programme,,,2,Q336213
Q708492,council member,,municipality,2,Q7659720
Q1127270,deputy chairperson,Q12046467,,2,Q12043292
Q1127270,deputy chairperson,KDU-ČSL parliamentary group,,2,Q14806480
Q29639349,mayor in Luxembourg,,municipality of Luxembourg,2,Q6707666
Q106212619,mayor of Arnhem,,Arnhem,2,Q3259044
Q15964815,member of Alberta Legislative Assembly,,Alberta,2,Q6788847
