item,itemLabel,itemDescription,jurisdiction,jurisdictionLabel,began,ended,type
Q22120970,Government of National Accord,provisional government,Q1016,Libya,2016-03-12,2021-03-15,cabinet
Q27886861,Skvernelis Cabinet,,Q37,Lithuania,2016-12-13,2020-12-11,cabinet
Q22158861,Filip Cabinet,government of Moldova,Q217,Moldova,2016-01-20,2019-06-08,cabinet
Q31182114,Marković Cabinet,Wikimedia list article,Q236,Montenegro,2016-11-28,2020-12-02,cabinet
Q24907948,First Htin Kyaw's Cabinet,government of Myanmar (2016–2018),Q836,Myanmar,2016-03-30,2018-03-30,cabinet
Q24196975,5th Executive of Northern Ireland,,Q26,Northern Ireland,2016-05-26,2017-01-16,cabinet
Q28419667,N. Rangaswamy ministry,sworn in as Chief Minister of Puducherry on 6 June 2016,Q66743,Puducherry,2016-06-06,2021-01-01,cabinet
Q22953926,Governments of the 32nd Dáil,30th and 31st Governments of Ireland,Q27,Republic of Ireland,,,
Q23899141,Second Dreyer cabinet,state government of Rhineland-Palatinate,Q1200,Rhineland-Palatinate,2016-05-18,2021-05-18,cabinet
Q26258393,Second cabinet of Aleksandar Vučić,,Q403,Serbia,2016-08-11,2017-06-29,cabinet
Q28407042,Second Marlin cabinet,"cabinet of Sint Maarten under Prime Ministers William Marlin and Rafael Boasman, 2016–2018",Q26273,Sint Maarten,2016-12-20,2018-01-15,cabinet
Q23466079,Fico's Third Cabinet,government of Slovakia,Q214,Slovakia,2016-03-23,2018-03-22,cabinet
Q27651679,Second Rajoy Cabinet,The second Rajoy Government,Q29,Spain,2016-11-04,2018-06-07,cabinet
Q25463735,Imad Khamis government,,Q858,Syria,2016-07-03,2020-06-11,cabinet
Q107122254,Sixth Jayalalithaa ministry,,Q1445,Tamil Nadu,2016-05-23,2016-12-05,cabinet
Q30598929,O. Panneerselvam ministry,Ministers in Government of Tamil Nadu headed by Chief Minister O. Panneerselvam,Q1445,Tamil Nadu,2016-12-05,2017-02-15,cabinet
Q26432711,Chahed Cabinet,Tunisian government,Q948,Tunisia,2016-08-27,2020-02-27,cabinet
Q24204734,Yıldırım Cabinet,government of the Republic of Turkey (2016-2018),Q43,Turkey,2016-05-24,2018-07-09,cabinet
Q23815898,Groysman government,government of Ukraine,Q212,Ukraine,2016-04-14,2019-08-29,cabinet
Q25814075,First May ministry,Government of the United Kingdom,Q145,United Kingdom,2016-07-13,2017-06-11,cabinet
Q25389237,Third Jones ministry,former government of Wales,Q25,Wales,2016-05-18,2018-12-12,cabinet
Q28419668,Mamata Banerjee ministry (2016–2021),Ministers in Government of West Bengal headed by Chief Minister Mamata Banerjee,Q1356,West Bengal,2016-05-27,2021-05-03,cabinet
