item,itemLabel,itemDescription,jurisdiction,jurisdictionLabel,began,ended,type
Q42309985,Kalikho Pul cabinet,,Q1162,Arunachal Pradesh,2016-02-19,2016-07-13,cabinet
Q42309982,Pema Khandu ministry,Ministers in Government of Arunachal Pradesh headed by Chief Minister Pema Khandu,Q1162,Arunachal Pradesh,2016-07-17,2019-05-29,cabinet
Q28003240,Sarbananda Sonowal ministry (2016–),,Q1164,Assam,2016-05-24,2021-05-10,cabinet
Q27163494,Second Turnbull Ministry,70th ministry of government of Australia,Q408,Australia,2016-07-19,2018-08-24,cabinet
Q23899143,Cabinet Kretschmann II,Baden-Württemberg state government since 2016,Q985,Baden-Württemberg,2016-05-12,2021-05-11,cabinet
Q48761086,Second Urkullu Government,,Q3995,Basque Autonomous Community,2016-11-25,2020-09-08,cabinet
Q27894962,Second Müller senate,Government cabinet of the city-state of Berlin,Q64,Berlin,2016-12-08,2021-12-20,cabinet
Q22043202,Puigdemont Government,,Q5705,Catalonia,2016-01-11,2017-10-27,cabinet
Q22227945,Cabinet of Tihomir Orešković,,Q224,Croatia,2016-01-22,2016-10-19,cabinet
Q27468682,Cabinet of Andrej Plenković,,Q224,Croatia,2016-10-19,2020-07-23,cabinet
Q27924454,Cabinet of Lars Løkke Rasmussen III,,Q35,Denmark,2016-11-28,2019-06-27,cabinet
Q27907838,Jüri Ratas' first cabinet,2016 Estonian government,Q191,Estonia,2016-11-23,2019-04-29,cabinet
Q27967567,Cazeneuve Ministry,39th Government of the French Fifth Republic,Q142,France,2016-12-06,2017-05-15,cabinet
Q56183258,Third Núñez Government,,Q3908,Galicia,2016-11-11,2020-09-07,cabinet
Q28419419,Hamas government of 2016,,Q39760,Gaza Strip,2016-10-17,2016-11-30,cabinet
Q28448999,Second Cabinet of Giorgi Kvirikashvili,,Q230,Georgia,2016-11-26,2018-06-13,cabinet
Q23022475,Kielsen II Cabinet,government of Greenland,Q223,Greenland,2016-02-02,2018-01-01,cabinet
Q48743208,Kielsen III Cabinet,government of Greenland,Q223,Greenland,2016-10-27,2018-05-15,cabinet
Q56863492,Kielsen IV Cabinet,Government of Greenland (2018),Q223,Greenland,2018-05-15,2018-10-05,cabinet
Q48732049,First Vijay Rupani ministry,,Q1061,Gujarat,2016-08-07,2017-12-26,cabinet
Q23763531,Cabinet of Sigurður Ingi Jóhannsson,,Q189,Iceland,2016-04-07,2017-01-11,cabinet
Q27998924,Gentiloni Cabinet,64th Government of the Italian Republic,Q38,Italy,2016-12-12,2018-06-01,cabinet
Q30599557,Mehbooba Mufti ministry,,Q1180,Jammu and Kashmir,2016-04-04,2018-01-01,cabinet
Q24885061,Hani Al-Mulki's cabinet,,Q810,Jordan,2016-06-01,2016-09-20,cabinet
Q26877833,Sagintayev Cabinet,cabinet of Kazakhstan between September 2016 and February 2019,Q232,Kazakhstan,2016-09-09,2019-02-21,cabinet
Q57148434,Pinarayi Vijayan ministry,"council of ministers in Kerala, India",Q1186,Kerala,2016-05-25,2021-05-03,cabinet
Q22680981,Kučinskis cabinet,,Q211,Latvia,2016-02-11,2019-01-23,cabinet
Q28039677,Second Cabinet of Saad Hariri,Lebanese government from December 2016,Q822,Lebanon,2016-12-18,2019-01-31,cabinet
