item,itemLabel,itemDescription,jurisdiction,jurisdictionLabel,began,ended,type
Q113450557,Notley Ministry,"cabinet of Alberta, 2015–2019",Q1951,Alberta,2015-05-24,2019-04-30,cabinet
Q51137415,Second Díaz Government,,Q5783,Andalusia,2015-06-18,2019-01-21,cabinet
Q56183393,Lambán Government,,Q4040,Aragon,2015-07-06,2019-08-06,cabinet
Q109116598,Second government of Javier Fernández,,Q3934,Asturias,2015-07-29,2019-07-22,cabinet
Q20986965,First Turnbull Ministry,69th ministry of government of Australia,Q408,Australia,2015-09-15,2016-07-19,cabinet
Q48761117,Armengol Government,,Q107356467,Balearic Islands,2015-07-02,2019-07-03,government
Q48725322,Nitish Kumar fifth ministry,Ministers in Government of Bihar headed by Chief Minister Nitish Kumar (2015-2017),Q1165,Bihar,2015-11-01,2017-07-01,cabinet
Q31366060,Cabinet of Denis Zvizdić,,Q225,Bosnia and Herzegovina,2015-03-31,2019-12-23,cabinet
Q21188948,29th Canadian Ministry,Canadian government cabinet inaugurated in 2015,Q16,Canada,2015-11-04,,cabinet
Q56303564,Clavijo Government,,Q5813,Canary Islands,2015-07-10,2019-07-17,cabinet
Q56191484,Third Revilla Government,,Q3946,Cantabria,2015-07-06,2019-07-08,cabinet
Q55222078,Fifth Herrera Government,,Q5739,Castile and León,2015-07-08,2019-07-16,cabinet
Q24052078,García-Page Government,regional cabinet of Castile-La Mancha,Q5748,Castile-La Mancha,2015-07-01,2019-07-01,cabinet
Q51542871,Cifuentes Government,Autonomous Government Council of the University of Madrid,Q5756,Community of Madrid,2015-06-26,2018-05-22,cabinet
Q39058481,Second Kejriwal cabinet,Ministers in Government of National Capital of Delhi headed by Chief Minister Arvind Kejriwal,Q1353,Delhi,2015-02-14,2020-02-14,cabinet
Q20451905,Cabinet of Lars Løkke Rasmussen II,"The incumbent government of Denmark, in office since 28th June 2015.",Q35,Denmark,2015-06-28,2016-11-28,cabinet
Q12504388,V Constitutional Government of East Timor,East Timorese cabinet led by Xanana Gusmão,Q574,East Timor,2012-08-08,2015-02-16,cabinet
Q25460068,VI Constitutional Government of East Timor,East Timorese cabinet led by Rui Maria de Araújo,Q574,East Timor,2015-02-16,2017-09-15,cabinet
Q20090817,Third Mahlab Ministry,active from March-September 2015,Q79,Egypt,2015-03-05,2015-09-19,cabinet
Q20984764,Sherif Ismail Ministry,,Q79,Egypt,2015-09-19,2018-06-07,cabinet
Q19776482,Taavi Rõivas' second cabinet,government of Estonia from 2015 to 2016,Q191,Estonia,2015-04-09,2016-11-23,cabinet
Q56191948,Second Guillermo Fernández Government,Government of Extremadura,Q5777,Extremadura,2015-07-02,2019-07-01,cabinet
Q19876592,Juha Sipilä's cabinet,74th cabinet of Finland,Q33,Finland,2015-05-29,2019-06-06,cabinet
Q20669250,Sieling senate,,Q1209,Free Hanseatic City of Bremen,,2019-01-01,cabinet
Q22079664,Cabinet of Giorgi Kvirikashvili,,Q230,Georgia,2015-12-30,2016-11-05,cabinet
Q18912888,First Cabinet of Alexis Tsipras,Greek coalition in 2015 government,Q41,Greece,2015-01-26,2015-08-27,cabinet
Q18912888,First Cabinet of Alexis Tsipras,Greek coalition in 2015 government,Q41,Greece,2015-01-27,2015-08-27,cabinet
Q20882467,Caretaker cabinet of Vassiliki Thanou 2015,caretaker cabinet of Greece in 2015,Q41,Greece,2015-08-27,2015-09-23,cabinet
Q21002078,Second Cabinet of Alexis Tsipras,,Q41,Greece,2015-09-23,2019-07-08,cabinet
Q19802169,Senate Scholz II,"cabinet of the government of the free city and state of Hamburg, Germany",Q1055,Hamburg,2015-04-15,2018-03-28,cabinet
Q19887488,thirty-fourth government of Israel,Israeli coalition government from 2015 to 2020,Q801,Israel,2015-05-14,2020-05-17,cabinet
Q19894193,Mufti Mohammad Sayeed ministry,,Q66278313,Jammu and Kashmir,2015-03-01,,cabinet
Q56191768,Ceniceros Government,,Q5727,La Rioja,2015-07-06,2019-08-29,cabinet
Q48761009,Puig Government,,Q5720,Land of Valencia,2015-06-30,2019-06-17,cabinet
Q19334897,Gaburici Cabinet,,Q217,Moldova,2015-02-18,2015-07-30,cabinet
Q20741632,Streleț Cabinet,,Q217,Moldova,2015-07-30,2015-10-29,cabinet
Q48761077,Barkos Government,former government of Navarre,Q4018,Navarre,2015-07-23,2019-08-07,cabinet
Q21406124,Cabinet of Beata Szydło,Polish Government,Q36,Poland,2015-11-16,2017-12-11,cabinet
Q21554845,XX Constitutional Government of Portugal,Portugal's government,Q45,Portugal,2015-10-30,2015-11-26,cabinet
Q21224349,XXI Constitutional Government of Portugal,,Q45,Portugal,2015-11-26,2019-10-26,cabinet
Q20647928,Wike executive council of Rivers State,,Q503923,Rivers State,2015-06-05,2017-06-24,cabinet
Q21484957,Cioloș Cabinet,Romanian government cabinet,Q218,Romania,2015-11-17,2017-01-04,cabinet
Q20983850,Fourth Lee Hsien Loong Cabinet,Cabinet of Singapore 2015–2020,Q334,Singapore,2015-10-01,2020-07-26,cabinet
Q22079700,Marlin cabinet,"cabinet of Sint Maarten under Prime Minister William Marlin, 2015–2016",Q26273,Sint Maarten,2015-11-19,2016-12-20,cabinet
Q18758308,Sirisena cabinet,,Q854,Sri Lanka,2015-01-12,2015-08-17,cabinet
Q85800191,Second Sirisena cabinet,,Q854,Sri Lanka,2015-08-24,2018-10-26,cabinet
Q107122216,Fifth Jayalalithaa ministry,,Q1445,Tamil Nadu,2015-05-23,2016-05-22,cabinet
Q22079698,Magufuli cabinet,President Magifuli cabinets that operated during his two terms as the leader of Tanzania,Q924,Tanzania,2015-12-14,2021-03-17,cabinet
Q18907938,Essid Cabinet,Tunisian government,Q948,Tunisia,2015-02-06,2016-08-27,cabinet
Q20875123,2015 interim election government of Turkey,government of the Republic of Turkey (2015),Q43,Turkey,2015-08-28,2015-11-24,cabinet
Q21504454,Third Davutoğlu Cabinet,government of Turkey 2015 to 2016,Q43,Turkey,2015-11-24,2016-05-24,cabinet
Q19889159,Second Cameron ministry,Government of the United Kingdom,Q145,United Kingdom,2015-05-08,2016-07-13,cabinet
