state,stateLabel,cabinet,cabinetLabel
Q334,Singapore,Q5015558,Cabinet of Singapore
Q214,Slovakia,Q3495267,Government of Slovakia
Q215,Slovenia,Q19901640,Cabinet of Slovenia
Q685,Solomon Islands,Q5015584,Cabinet of the Solomon Islands
Q1045,Somalia,Q7559139,Cabinet of Somalia
Q258,South Africa,Q634678,Cabinet of South Africa
Q884,South Korea,Q12585780,State Council of South Korea
Q958,South Sudan,Q4376010,Cabinet of South Sudan
Q29,Spain,Q3058576,Council of Ministers of Spain
Q854,Sri Lanka,Q3783006,Cabinet of Sri Lanka
Q1049,Sudan,Q5015559,Cabinet of Sudan
Q730,Suriname,Q105688805,Cabinet of Suriname
Q34,Sweden,Q930729,Government of Sweden
Q39,Switzerland,Q30917,Swiss Federal Council
Q858,Syria,Q267276,Council of Ministers of Syria
Q1039,São Tomé and Príncipe,Q18125240,government of São Tomé and Príncipe
Q865,Taiwan,Q715055,Executive Yuan
Q863,Tajikistan,Q85750014,Cabinet of Tajikistan
Q924,Tanzania,Q5015563,Cabinet of Tanzania
Q869,Thailand,Q873368,Cabinet of Thailand
Q778,The Bahamas,Q5015577,Cabinet of the Bahamas
Q1005,The Gambia,Q2137664,Cabinet of the Gambia
Q945,Togo,Q5176457,Council of Ministers of Togo
Q678,Tonga,Q1567190,Cabinet of Tonga
Q754,Trinidad and Tobago,Q107861112,cabinet of Trinidad and Tobago
Q948,Tunisia,Q526548,Government of Tunisia
Q43,Turkey,Q12812333,Cabinet of Turkey
Q874,Turkmenistan,Q4206687,Cabinet of Ministers
Q672,Tuvalu,Q2932382,Cabinet of Tuvalu
Q1036,Uganda,Q16148206,Cabinet of Uganda
Q212,Ukraine,Q613729,Cabinet of Ministers of Ukraine
Q878,United Arab Emirates,Q5015588,Cabinet of the United Arab Emirates
Q145,United Kingdom,Q112014,Cabinet of the United Kingdom
Q30,United States of America,Q639738,United States Cabinet
Q77,Uruguay,Q5015570,Cabinet of Uruguay
Q265,Uzbekistan,Q16656759,Cabinet of Ministers of Uzbekistan
Q686,Vanuatu,Q1565931,Cabinet of Vanuatu
Q717,Venezuela,Q14252930,Cabinet of Venezuela
Q881,Vietnam,Q29076424,Cabinet of Vietnam
Q805,Yemen,Q5015574,Cabinet of Yemen
Q953,Zambia,Q5015573,Cabinet of Zambia
Q954,Zimbabwe,Q5015575,Cabinet of Zimbabwe
