item,itemLabel,jurisdiction,jurisdictionLabel,start
Q115856950,thirty-seventh government of Israel,Q801,Israel,2023-01-02
Q115664651,Second cabinet of Lula da Silva,Q155,Brazil,2023-01-01
Q115858267,Cabinet of Aksel V. Johannesen II,Q4628,Faroe Islands,2022-12-22
Q115792010,2nd Boluarte Cabinet,Q419,Peru,2022-12-21
Q115743804,2nd Varadkar Ministry,Q27,Republic of Ireland,2022-12-17
Q115694681,Frederiksen II Cabinet,Q35,Denmark,2022-12-15
Q115349247,2nd Kariņš Cabinet,Q211,Latvia,2022-12-14
Q115660220,Sukvinder Singh Sukhu Ministry,Q1177,Himachal Pradesh,2022-12-11
Q115537091,Eby ministry,Q1973,British Columbia,2022-12-07
Q115677846,Boluarte Cabinet,Q419,Peru,2022-12-07
Q115531201,5th Castillo Cabinet,Q419,Peru,2022-11-25
Q115301073,Anwar Ibrahim cabinet,Q833,Malaysia,2022-11-24
Q115115341,18th Constitutional Government of São Tomé and Príncipe,Q1039,São Tomé and Príncipe,2022-11-12
Q114979509,Third Weil cabinet,Q1197,Lower Saxony,2022-11-08
Q115101162,Matekane Cabinet,Q1013,Lesotho,2022-11-04
Q114879720,Mohammed Shia' Al Sudani Government,Q796,Iraq,2022-10-27
Q114825866,Third cabinet of Ana Brnabić,Q403,Serbia,2022-10-26
Q114838778,Sunak ministry,Q145,United Kingdom,2022-10-25
Q114771449,Mattle Cabinet,Q42880,Tyrol,2022-10-25
Q114796219,Meloni Cabinet,Q38,Italy,2022-10-22
