country,countrylabel,wpperson,wppersonlabel,wdperson,wdpersonlabel
Q222,Albania,,Florent Çeliku,,
Q262,Algeria,,Abdelkader Khemri,,
Q228,Andorra,,Maria Noguer González,,
Q916,Angola,,Brito Antonio Sozinho,,
Q414,Argentina,,Roberto Daniel Pierini,,
Q399,Armenia,,Ara Aivazian,,
Q408,Australia,,Gerald Bruce Thomson,,
Q40,Austria,,Renate Kobler,,
Q227,Azerbaijan,Q7812977,Tofig Zulfugarov,,
Q902,Bangladesh,Q7400040,Saiful Hoque,,
Q184,Belarus,,Vadim Lazerko,,
Q31,Belgium,,Marc Thunus,,
Q962,Benin,,Arlette Claudine Kpedetin Dagnon Vignikin,,
Q225,Bosnia and Herzegovina,,Jadranka Kalmeta,,
Q963,Botswana,,Ishmael Tsholofelo Dabutha,,
Q155,Brazil,,Vergniaud Elyseu Filho,,
Q219,Bulgaria,,Lyubomir Todorov Todorov,,
Q965,Burkina Faso,Q6900355,Monique Ilboudo,,
Q424,Cambodia,,Vanna Thay,,
Q16,Canada,,John Morrison,,
Q298,Chile,,Eduardo Tapia Riepel,,
Q148,China,,Qu Zhe,,
Q739,Colombia,,Victoria González-Ariza,,
Q224,Croatia,,Krešimir Kopčić,,
Q241,Cuba,,Enrique Orta González,,
Q229,Cyprus,,Filippos Kritiotis,,
Q213,Czech Republic,,Richard Kadlčák,,
Q35,Denmark,,Søren Kelstrup,,
Q736,Ecuador,,Mario Aníbal Guerrero Murgueytio,,
Q79,Egypt,,Mohamed Abdel Hameed Kassem,,
Q792,El Salvador,,Martin Alberto Rivera Gómez,,
Q115,Ethiopia,,Kassu Yilala,,
Q33,Finland,,Heikki Aleksi Härkönen,,
Q142,France,,Frédéric Billet,,
Q230,Georgia,Q63431889,Ruslan Abashidze,,
Q183,Germany,,Christian Matthias Schlaga,Q23060821,Christoph Eichhorn
Q117,Ghana,,Paul King Aryene,,
Q41,Greece,,Evaghelia Kamariotou,,
Q774,Guatemala,,Brenda Paz de Ghassemi,,
Q1006,Guinea,,Mohamed Keita,,
Q159583,Holy See,Q1876109,Luigi Bonazzi,,
Q783,Honduras,Q16729025,Roberto Flores Bermúdez,,
Q28,Hungary,,Erik Haupt,,
Q189,Iceland,Q252296,Árni Þór Sigurðsson,,
Q668,India,,Aladiyan Manickam,,
Q252,Indonesia,,Elias Ginting,,
Q794,Iran,,Seyed Rasoul Mousavi,,
Q796,Iraq,,Abdul Kareem Toma Mehdi Kaab,,
Q27,Ireland,,Peter Kieran McIvor,,
Q801,Israel,Q401710,Dan Ashbel,,
Q38,Italy,,Marco Clemente,,
Q17,Japan,Q6575904,Tetsuro Kai,,
Q810,Jordan,Q74262408,Khaldoun Talhouni,,
Q232,Kazakhstan,,Galymzhan Koishybayev,,
Q1246,Kosovo,,Ilir Dugolli,,
Q817,Kuwait,,Musaed Rashed Ahmad Al-Haroun,,
Q813,Kyrgyzstan,,Erik Asanaliev,,
Q819,Laos,,Khamvone Phanouvong,,
Q211,Latvia,,Kārlis Eihenbaums,,
Q822,Lebanon,,Sonia Abou Azar,,
Q37,Lithuania,,Neilas Tankevičius,,
Q32,Luxembourg,Q30960233,Michèle Pranchère-Tomassini,,
Q221,Macedonia,,Sasho Veljanovski,,
Q1020,Malawi,,Isaac Lamba,,
Q833,Malaysia,,Cheah Choong Kit,,
Q912,Mali,,Fatoumata Siré Diakité,,
Q233,Malta,,Laurence Grech,,
Q1025,Mauritania,,Sidi Mohamed Ould Taleb Amar,,
Q96,Mexico,,Ernesto Céspedes Oropeza,,
Q217,Moldova,Q7925961,Victor Guzun,,
