position,title
Q81066,Secretary-General of the United Nations
Q3099742,Deputy Secretary-General of the United Nations
Q65077634,President of the United Nations Economic and Social Council
Q1161813,President of the United Nations General Assembly
Q104523987,President of the Pan African Paliament
Q78476622,Speaker of the Arab Parliament
Q43083583,president of the Parliamentary Assembly of the Council of Europe
Q19926443,President of the International Court of Justice
Q94450525,Vice President of the International Court of Justice
Q2472167,OSCE High Commissioner on National Minorities
