position,person,personID,start,end
member of the Andean Parliament,Hilaria Supa,Q463554,2011,2016
member of the Andean Parliament,Mariano González Fernández,Q25930834,2016-07-28,
member of the Andean Parliament,Estelita Bustos,Q30064133,2021,
Member of the Pan-African Parliament,Hasna Mohamed Dato,Q16193066,2004,2009
Member of the Pan-African Parliament,Gertrude Mongella,Q455223,2004,
Member of the Pan-African Parliament,Verónica Macamo,Q6722501,2004,
Member of the Pan-African Parliament,Marie Blandine Sawadogo,Q6762766,2004,
Member of the Pan-African Parliament,Théophile Nata,Q7799883,2004,2022-06-11
Member of the Pan-African Parliament,Belco Samassékou,Q110656156,2014,2020
Representative of the Parliamentary Assembly of the Council of Europe,Jacques Baumel,Q1242626,1981-09-30,2002-09-03
Representative of the Parliamentary Assembly of the Council of Europe,Lluís Maria de Puig,Q1866967,1984-05-07,2011-04-11
Representative of the Parliamentary Assembly of the Council of Europe,Ulrich Irmer,Q113498,1987-05-04,2003-01-27
Representative of the Parliamentary Assembly of the Council of Europe,Peter Schieder,Q1274581,1987-05-04,2007-01-22
Representative of the Parliamentary Assembly of the Council of Europe,Michael Schmude,Q1665285,1987-05-04,2003-01-27
Representative of the Parliamentary Assembly of the Council of Europe,Russell Johnston,Q333754,1987-10-01,2008-07-27
Representative of the Parliamentary Assembly of the Council of Europe,Tom Coxon,Q10465190,1987-11-25,2005-09-01
Representative of the Parliamentary Assembly of the Council of Europe,Dumeni Columberg,Q125446,1988-05-02,2000-01-24
Representative of the Parliamentary Assembly of the Council of Europe,José Luis López Henares,Q65496770,1990-03-21,2000-06-26
Representative of the Parliamentary Assembly of the Council of Europe,Victor Ruffy,Q16979796,1990-05-07,2000-01-24
Representative of the Parliamentary Assembly of the Council of Europe,Hanne Severinsen,Q4978144,1990-11-22,2008-01-21
Representative of the Parliamentary Assembly of the Council of Europe,Klaus Bühler,Q1744955,1991-04-22,2003-01-27
Representative of the Parliamentary Assembly of the Council of Europe,Jaakko Laakso,Q6109579,1991-04-22,2003-05-27
Representative of the Parliamentary Assembly of the Council of Europe,"John Smith, Baron Kirkhill",Q1701772,1991-06-25,2001-11-08
Representative of the Parliamentary Assembly of the Council of Europe,David Atkinson,Q338243,1991-06-25,2005-09-01
Representative of the Parliamentary Assembly of the Council of Europe,Pedro Manuel da Cruz Roseta,Q10347591,1992-02-03,2002-06-24
Representative of the Parliamentary Assembly of the Council of Europe,Jean Valleix,Q3174934,1992-02-03,2002-09-03
Representative of the Parliamentary Assembly of the Council of Europe,Younal Loutfi,Q65497239,1992-02-03,2009-09-28
Representative of the Parliamentary Assembly of the Council of Europe,Peter Bloetzer,Q2073971,1992-05-04,2000-01-24
Representative of the Parliamentary Assembly of the Council of Europe,Henning Gjellerod,Q12316226,1993-03-24,2002-01-21
Representative of the Parliamentary Assembly of the Council of Europe,Bernard Schreiner,Q2898601,1993-05-10,2007-10-01
Representative of the Parliamentary Assembly of the Council of Europe,Borut Pahor,Q206471,1993-06-29,2001-03-14
Representative of the Parliamentary Assembly of the Council of Europe,Martti Tiuri,Q16990896,1993-09-27,2003-05-27
Representative of the Parliamentary Assembly of the Council of Europe,Jordi Solé Tura,Q527326,1993-09-27,2004-06-21
Representative of the Parliamentary Assembly of the Council of Europe,György Frunda,Q750878,1993-11-04,2013-01-20
Representative of the Parliamentary Assembly of the Council of Europe,Jerzy Jaskiernia,Q11724754,1994-01-24,2005-12-31
Representative of the Parliamentary Assembly of the Council of Europe,Tadeusz Iwiński,Q65497194,1994-01-24,2016-01-24
Representative of the Parliamentary Assembly of the Council of Europe,Vassilios Maginas,Q65497353,1994-01-24,2000-05-15
Representative of the Parliamentary Assembly of the Council of Europe,Gustavo Selva,Q3779986,1994-06-28,2001-09-24
Representative of the Parliamentary Assembly of the Council of Europe,András Bársony,Q12078237,1994-10-03,2002-06-24
Representative of the Parliamentary Assembly of the Council of Europe,Elisabeth Arnold,Q12309742,1994-11-10,2002-01-21
Representative of the Parliamentary Assembly of the Council of Europe,Michalis Liapis,Q12881067,1994-11-10,2004-04-26
Representative of the Parliamentary Assembly of the Council of Europe,Anders Björck,Q490785,1994-11-10,2003-01-27
Representative of the Parliamentary Assembly of the Council of Europe,Jan Bergqvist,Q5573006,1994-11-10,2003-01-27
Representative of the Parliamentary Assembly of the Council of Europe,Dieter Schloten,Q1222778,1995-01-30,2003-01-27
Representative of the Parliamentary Assembly of the Council of Europe,Karl-Hermann Haack,Q1236245,1995-01-30,2003-01-27
Representative of the Parliamentary Assembly of the Council of Europe,Benno Zierer,Q15787696,1995-01-30,2003-01-27
Representative of the Parliamentary Assembly of the Council of Europe,Meinolf Michels,Q1918129,1995-01-30,2003-01-27
Representative of the Parliamentary Assembly of the Council of Europe,Wolfgang Behrendt,Q2589179,1995-01-30,2003-01-27
Representative of the Parliamentary Assembly of the Council of Europe,Alfred Gusenbauer,Q260037,1995-01-30,2007-04-16
Representative of the Parliamentary Assembly of the Council of Europe,Irena Belohorská,Q3504591,1995-01-30,2003-01-27
Representative of the Parliamentary Assembly of the Council of Europe,Lluís Recoder,Q4891019,1995-01-30,2000-01-24
Representative of the Parliamentary Assembly of the Council of Europe,Elena Poptodorova,Q5359105,1995-01-30,2001-09-24
Representative of the Parliamentary Assembly of the Council of Europe,Francesco Speroni,Q1441240,1995-03-14,2000-01-24
Representative of the Parliamentary Assembly of the Council of Europe,Graziano Cioni,Q3776015,1995-03-14,2001-09-24
Representative of the Parliamentary Assembly of the Council of Europe,Mikko Elo,Q16298045,1995-05-22,2003-05-27
Representative of the Parliamentary Assembly of the Council of Europe,Ana Guirado,Q65497146,1995-06-26,2000-06-26
Representative of the Parliamentary Assembly of the Council of Europe,Lára Margrét Ragnarsdóttir,Q65497191,1995-06-26,2003-06-23
