position,person,personID,start,end
Secretary-General of the United Nations,Kofi Annan,Q1254,1997-01-01,2006-12-31
Secretary-General of the United Nations,Ban Ki-moon,Q1253,2007-01-01,2017-01-01
Secretary-General of the United Nations,António Guterres,Q311440,2017-01-01,
Deputy Secretary-General of the United Nations,Louise Fréchette,Q437150,1998-03-02,2006-03-31
Deputy Secretary-General of the United Nations,"Mark Malloch Brown, Baron Malloch-Brown",Q336213,2006-04-01,2006-12-31
Deputy Secretary-General of the United Nations,Asha-Rose Migiro,Q461710,2007-02-05,2012-07-01
Deputy Secretary-General of the United Nations,Jan Eliasson,Q549955,2012-07-01,2016-12-31
Deputy Secretary-General of the United Nations,Amina J. Mohammed,Q4746340,2017-02-28,
President of the United Nations General Assembly,Theo-Ben Gurirab,Q654433,1999,2000
President of the United Nations General Assembly,Harri Holkeri,Q273324,2000-09-05,2001-09-11
President of the United Nations General Assembly,Jan Kavan,Q1397396,2002-01-01,2002-12-31
President of the United Nations General Assembly,Jan Eliasson,Q549955,2005-06,2006-09-11
President of the United Nations General Assembly,Srgjan Kerim,Q690405,2007-09-18,2008-09-18
President of the United Nations General Assembly,Joseph Deiss,Q123823,2010-09-14,2011-09-14
President of the United Nations General Assembly,Vuk Jeremić,Q722579,2012-09-18,2013-09-17
President of the United Nations General Assembly,John William Ashe,Q6264110,2013-09-17,2014-09-16
President of the United Nations General Assembly,Sam Kutesa,Q58240,2014-09-16,2015-09-16
President of the United Nations General Assembly,Mogens Lykketoft,Q1937560,2015-09-16,2016-09-13
President of the United Nations General Assembly,Peter Thomson,Q22213056,2016-09,2017-09
President of the United Nations General Assembly,Miroslav Lajčák,Q467905,2017-09-12,2018-09-19
President of the United Nations General Assembly,María Fernanda Espinosa,Q460904,2018-09-05,2019-09-17
President of the United Nations General Assembly,Tijjani Muhammad-Bande,Q30558371,2019-09-17,2020-09-15
President of the United Nations General Assembly,Volkan Bozkır,Q7940222,2021-06-17,2021-06-17
President of the United Nations General Assembly,Abdulla Shahid,Q4665893,2021-09-14,2022-09-13
President of the United Nations General Assembly,Csaba Kőrösi,Q110812967,2022-09-13,
Speaker of the Arab Parliament,مشعل السلمي,Q78476236,2016-12-10,2020-10-18
Speaker of the Arab Parliament,Adel Al Asoomi,Q20408969,2020-10-28,
president of the Parliamentary Assembly of the Council of Europe,Russell Johnston,Q333754,1999-01-25,2002-01-20
president of the Parliamentary Assembly of the Council of Europe,Peter Schieder,Q1274581,2002-01-21,2005-01-23
president of the Parliamentary Assembly of the Council of Europe,René van der Linden,Q572209,2005-01-24,2008-01-20
president of the Parliamentary Assembly of the Council of Europe,Lluís Maria de Puig,Q1866967,2008-01-21,2010-01-24
president of the Parliamentary Assembly of the Council of Europe,Mevlüt Çavuşoğlu,Q249206,2010-01-25,2012-01-22
president of the Parliamentary Assembly of the Council of Europe,Jean-Claude Mignon,Q1188660,2012-01-23,2014-01-26
president of the Parliamentary Assembly of the Council of Europe,Anne Brasseur,Q539770,2014-01-27,2016-01-24
president of the Parliamentary Assembly of the Council of Europe,Pedro Agramunt,Q11940700,2016-01-25,2017-10-06
president of the Parliamentary Assembly of the Council of Europe,Stella Kyriakides,Q47545922,2017-10-10,2018-01-21
president of the Parliamentary Assembly of the Council of Europe,Michele Nicoletti,Q5561197,2018-01-22,2018-06-24
president of the Parliamentary Assembly of the Council of Europe,Liliane Maury Pasquier,Q116648,2018-06,
President of the International Court of Justice,Stephen M. Schwebel,Q928833,1997,2000
President of the International Court of Justice,Gilbert Guillaume,Q320753,2000-02-07,2003-02-06
President of the International Court of Justice,Shi Jiuyong,Q659792,2003,2006
President of the International Court of Justice,Rosalyn Higgins,Q273691,2006-02-06,2009-02-05
President of the International Court of Justice,Hisashi Owada,Q701990,2009-02-06,2012-02-05
President of the International Court of Justice,Peter Tomka,Q1348577,2012-02-06,2015-02-06
President of the International Court of Justice,Ronny Abraham,Q382775,2015-02-06,2018-02-05
President of the International Court of Justice,Abdulqawi Yusuf,Q317864,2018-02-06,2021-02-08
President of the International Court of Justice,Joan Donoghue,Q1690742,2021-02-08,
Vice President of the International Court of Justice,Christopher Weeramantry,Q741091,1997,2000
Vice President of the International Court of Justice,Shi Jiuyong,Q659792,2000,2003
Vice President of the International Court of Justice,Raymond Ranjeva,Q301511,2003,2006
Vice President of the International Court of Justice,Awn Shawkat Al-Khasawneh,Q441349,2006,2009
Vice President of the International Court of Justice,Peter Tomka,Q1348577,2009-02-06,2012-02-05
Vice President of the International Court of Justice,Bernardo Sepúlveda Amor,Q823046,2012-02-06,2015-02-06
Vice President of the International Court of Justice,Abdulqawi Yusuf,Q317864,2015-02-06,2018-02-05
Vice President of the International Court of Justice,Xue Hanqin,Q523850,2018-02-06,2021-02-08
Vice President of the International Court of Justice,Kirill Gevorgian,Q4134668,2021-02-08,
OSCE High Commissioner on National Minorities,Max van der Stoel,Q773635,1993,2001
OSCE High Commissioner on National Minorities,Rolf Ekéus,Q721292,2001,2007
OSCE High Commissioner on National Minorities,Knut Vollebæk,Q998489,2007,2013
OSCE High Commissioner on National Minorities,Astrid Thors,Q2868553,2013,2016
OSCE High Commissioner on National Minorities,Lamberto Zannier,Q1388868,2017,2020
OSCE High Commissioner on National Minorities,Kairat Abdrakhmanov,Q1721851,2020-12-04,
Director-General of the World Trade Organization,Mike Moore,Q558647,1999-09-01,2002-09-01
