position,person,personID,start,end
Secretary-General of the United Nations,António Guterres,Q311440,2017-01-01,
Deputy Secretary-General of the United Nations,Amina J. Mohammed,Q4746340,2017-02-28,
President of the United Nations General Assembly,Csaba Kőrösi,Q110812967,2022-09-13,
Speaker of the Arab Parliament,Adel Al Asoomi,Q20408969,2020-10-28,
president of the Parliamentary Assembly of the Council of Europe,Liliane Maury Pasquier,Q116648,2018-06,
President of the International Court of Justice,Joan Donoghue,Q1690742,2021-02-08,
Vice President of the International Court of Justice,Kirill Gevorgian,Q4134668,2021-02-08,
OSCE High Commissioner on National Minorities,Kairat Abdrakhmanov,Q1721851,2020-12-04,
Director-General of the World Trade Organization,Ngozi Okonjo-Iweala,Q289350,2021-03-01,
