wanted,position,positionid,from,start,end
Q3134558,Under-Secretary-General of the United Nations,Q2932400,Q15924670,2017-02-15,
Q7175369,Under-Secretary-General of the United Nations,Q2932400,Q18686248,2015,2017
Q529388,President of the United Nations General Assembly,Q1161813,Q722579,2012-09-18,2013-09-17
Q94027,President of the United Nations General Assembly,Q1161813,Q123823,2010-09-14,2011-09-14
Q263314,President of the United Nations General Assembly,Q1161813,Q690405,2007-09-18,2008-09-18
Q58286,President of the United Nations General Assembly,Q1161813,Q549955,2005-06,2006-09-11
Q356675,President of the United Nations General Assembly,Q1161813,Q1397396,2002-01-01,2002-12-31
