wanted,position,positionid,from,start,end
Q4727187,Under-Secretary-General of the United Nations,Q2932400,Q18686248,2015,2017
Q529388,President of the United Nations General Assembly,Q1161813,Q123823,2010-09-14,2011-09-14
Q29951336,Permanent Representative to the United Nations,Q7888495,Q26923392,2009-08-26,2015-10-30
Q113935,President of the United Nations General Assembly,Q1161813,Q690405,2007-09-18,2008-09-18
Q263314,President of the United Nations General Assembly,Q1161813,Q549955,2005-06,2006-09-11
Q1232767,President of the United Nations General Assembly,Q1161813,Q1397396,2002-01-01,2002-12-31
Q356675,President of the United Nations General Assembly,Q1161813,Q273324,2000-09-05,2001-09-11
Q572724,Under-Secretary-General of the United Nations,Q2932400,Q2898334,1997-01-28,2000-09-30
